id_evento,nombre_evento,ubicacion,fecha,categoria,necesidad_especial,integrantes,edad_minima,modalidad,precio,link,descripcion
19,Feria Medieval Ibiza,Illes Balears,2025-11-24 00:00:00,Espectáculo,Movilidad reducida,4,5,Al aire libre,Desde 5€,https://ibiza.travel/,Disfruta de un espectáculo familiar en Feria Medieval Ibiza en Illes Balears el 24 de November de 2025.
20,PortAventura World,Madrid,2025-03-30 00:00:00,Exposición,Movilidad reducida,1,8,Cubierto,Desde 20€,https://www.portaventuraworld.com/,Disfruta de un exposición familiar en PortAventura World en Madrid el 30 de March de 2025.
21,Dinópolis Teruel,Teruel,2025-01-27 00:00:00,Literatura,Cognitiva,2,2,Al aire libre,Desde 20€,https://www.dinopolis.com/,Disfruta de un literatura familiar en Dinópolis Teruel en Teruel el 27 de January de 2025.
22,Teleférico de Madrid,Madrid,2025-04-12 00:00:00,Museo,Ninguna,1,8,Cubierto,Desde 20€,https://teleferico.emtmadrid.es/,Disfruta de un museo familiar en Teleférico de Madrid en Madrid el 12 de April de 2025.
23,CosmoCaixa Barcelona,Barcelona,2025-10-18 00:00:00,Concierto,Auditiva,5,2,Al aire libre,Desde 30€,https://cosmocaixa.org/,Disfruta de un concierto familiar en CosmoCaixa Barcelona en Barcelona el 18 de October de 2025.
24,CaixaForum Barcelona,Barcelona,2025-06-02 00:00:00,Festival,Auditiva,4,8,Cubierto,Por confirmar,https://caixaforum.org/es/barcelona,Disfruta de un festival familiar en CaixaForum Barcelona en Barcelona el 2 de June de 2025.
25,Festival de Magia - Parque de Atracciones,Madrid,2025-11-16 00:00:00,Espectáculo,Auditiva,5,2,Cubierto,Desde 10€,https://parquedeatracciones.es/eventos/festival-magia,Disfruta de un espectáculo familiar en Festival de Magia - Parque de Atracciones en Madrid el 16 de November de 2025.
26,Biblioteca Eugenio Trías actividades infantiles,Madrid,2025-03-27 00:00:00,Festival,Visual,3,8,Cubierto,Desde 30€,https://www.madrid.es/portales/munimadrid,Disfruta de un festival familiar en Biblioteca Eugenio Trías actividades infantiles en Madrid el 27 de March de 2025.
27,Feria del Caballo Jerez,Cádiz,2025-03-19 00:00:00,Espectáculo,Auditiva,3,2,Al aire libre,Por confirmar,https://feriadelcaballojerez.com/,Disfruta de un espectáculo familiar en Feria del Caballo Jerez en Cádiz el 19 de March de 2025.
28,Festival Pirineos Sur,Madrid,2025-05-05 00:00:00,Exposición,Cognitiva,1,5,Al aire libre,Desde 10€,https://pirineos-sur.es/,Disfruta de un exposición familiar en Festival Pirineos Sur en Madrid el 5 de May de 2025.
29,Museo de Cera de Madrid,Madrid,2025-04-03 00:00:00,Museo,Movilidad reducida,1,8,Al aire libre,Desde 30€,https://www.museoceramadrid.com/,Disfruta de un museo familiar en Museo de Cera de Madrid en Madrid el 3 de April de 2025.
30,CosmoCaixa Barcelona,Barcelona,2025-09-24 00:00:00,Literatura,Visual,2,8,Al aire libre,Desde 30€,https://cosmocaixa.org/,Disfruta de un literatura familiar en CosmoCaixa Barcelona en Barcelona el 24 de September de 2025.
31,Atlantis Aquarium Madrid,Madrid,2025-06-21 00:00:00,Museo,Movilidad reducida,1,8,Al aire libre,Desde 10€,https://www.atlantisaquarium-madrid.es/,Disfruta de un museo familiar en Atlantis Aquarium Madrid en Madrid el 21 de June de 2025.
32,Parque de Aventuras Amazonia,Madrid,2025-05-20 00:00:00,Concierto,Auditiva,3,0,Al aire libre,Desde 5€,https://www.parqueaventuraamazonia.com/,Disfruta de un concierto familiar en Parque de Aventuras Amazonia en Madrid el 20 de May de 2025.
33,Oceanogràfic Valencia,Valencia,2025-06-05 00:00:00,Exposición,Visual,1,2,Cubierto,Gratis,https://www.oceanografic.org/,Disfruta de un exposición familiar en Oceanogràfic Valencia en Valencia el 5 de June de 2025.
34,Pueblo Español de Barcelona,Barcelona,2025-08-23 00:00:00,Museo,Auditiva,2,0,Cubierto,Desde 10€,https://poble-espanyol.com/,Disfruta de un museo familiar en Pueblo Español de Barcelona en Barcelona el 23 de August de 2025.
35,Biblioteca Eugenio Trías actividades infantiles,Madrid,2025-12-07 00:00:00,Parque Temático,Visual,5,5,Al aire libre,Desde 5€,https://www.madrid.es/portales/munimadrid,Disfruta de un parque temático familiar en Biblioteca Eugenio Trías actividades infantiles en Madrid el 7 de December de 2025.
37,Museo del Prado actividades familiares,Bizkaia,2025-04-06 00:00:00,Museo,Movilidad reducida,2,2,Al aire libre,Gratis,https://www.museodelprado.es/,Disfruta de un museo familiar en Museo del Prado actividades familiares en Bizkaia el 6 de April de 2025.
39,Parque de Aventuras Amazonia,Madrid,2025-11-10 00:00:00,Literatura,Ninguna,1,0,Al aire libre,Desde 5€,https://www.parqueaventuraamazonia.com/,Disfruta de un literatura familiar en Parque de Aventuras Amazonia en Madrid el 10 de November de 2025.
40,CosmoCaixa Barcelona,Barcelona,2025-08-17 00:00:00,Concierto,Auditiva,3,8,Cubierto,Desde 10€,https://cosmocaixa.org/,Disfruta de un concierto familiar en CosmoCaixa Barcelona en Barcelona el 17 de August de 2025.
41,Museo del Prado actividades familiares,Bizkaia,2025-11-09 00:00:00,Museo,Cognitiva,2,5,Al aire libre,Por confirmar,https://www.museodelprado.es/,Disfruta de un museo familiar en Museo del Prado actividades familiares en Bizkaia el 9 de November de 2025.
42,Museo del Prado actividades familiares,Bizkaia,2025-09-28 00:00:00,Literatura,Cognitiva,1,2,Cubierto,Desde 20€,https://www.museodelprado.es/,Disfruta de un literatura familiar en Museo del Prado actividades familiares en Bizkaia el 28 de September de 2025.
43,Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-11-04 00:00:00,Espectáculo,Auditiva,4,0,Al aire libre,Gratis,https://parquedecabarceno.com/,Disfruta de un espectáculo familiar en Parque de la Naturaleza de Cabárceno Cantabria en Cantabria el 4 de November de 2025.
44,CaixaForum Barcelona,Barcelona,2025-10-22 00:00:00,Exposición,Visual,2,5,Al aire libre,Por confirmar,https://caixaforum.org/es/barcelona,Disfruta de un exposición familiar en CaixaForum Barcelona en Barcelona el 22 de October de 2025.
45,Atlantis Aquarium Madrid,Madrid,2025-08-12 00:00:00,Festival,Cognitiva,4,2,Cubierto,Desde 30€,https://www.atlantisaquarium-madrid.es/,Disfruta de un festival familiar en Atlantis Aquarium Madrid en Madrid el 12 de August de 2025.
46,Parque de Aventuras Amazonia,Madrid,2025-09-20 00:00:00,Exposición,Ninguna,1,8,Cubierto,Desde 20€,https://www.parqueaventuraamazonia.com/,Disfruta de un exposición familiar en Parque de Aventuras Amazonia en Madrid el 20 de September de 2025.
47,Museo del Prado actividades familiares,Bizkaia,2025-10-23 00:00:00,Museo,Visual,1,2,Cubierto,Desde 5€,https://www.museodelprado.es/,Disfruta de un museo familiar en Museo del Prado actividades familiares en Bizkaia el 23 de October de 2025.
48,Festival Pirineos Sur,Madrid,2025-06-29 00:00:00,Literatura,Movilidad reducida,2,5,Cubierto,Gratis,https://pirineos-sur.es/,Disfruta de un literatura familiar en Festival Pirineos Sur en Madrid el 29 de June de 2025.
49,Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-10-15 00:00:00,Festival,Ninguna,4,8,Al aire libre,Por confirmar,https://parquedecabarceno.com/,Disfruta de un festival familiar en Parque de la Naturaleza de Cabárceno Cantabria en Cantabria el 15 de October de 2025.
50,Pinocho en el Circo - Teatro San Pol,Barcelona,2025-06-03 00:00:00,Parque Temático,Ninguna,3,2,Al aire libre,Gratis,https://teatrosanpol.com/,Disfruta de un parque temático familiar en Pinocho en el Circo - Teatro San Pol en Barcelona el 3 de June de 2025.
51,Museo del Prado actividades familiares,Bizkaia,2025-10-16 00:00:00,Concierto,Visual,5,8,Al aire libre,Desde 30€,https://www.museodelprado.es/,Disfruta de un concierto familiar en Museo del Prado actividades familiares en Bizkaia el 16 de October de 2025.
52,L'Aquàrium Barcelona,Barcelona,2025-07-26 00:00:00,Festival,Ninguna,5,0,Cubierto,Desde 30€,https://www.aquariumbcn.com/,Disfruta de un festival familiar en L'Aquàrium Barcelona en Barcelona el 26 de July de 2025.
53,Feria del Caballo Jerez,Cádiz,2025-11-10 00:00:00,Parque Temático,Movilidad reducida,3,8,Cubierto,Desde 20€,https://feriadelcaballojerez.com/,Disfruta de un parque temático familiar en Feria del Caballo Jerez en Cádiz el 10 de November de 2025.
54,Festival de Magia - Parque de Atracciones,Madrid,2025-02-04 00:00:00,Festival,Cognitiva,4,0,Cubierto,Por confirmar,https://parquedeatracciones.es/eventos/festival-magia,Disfruta de un festival familiar en Festival de Magia - Parque de Atracciones en Madrid el 4 de February de 2025.
55,Museo Naval de Madrid,Madrid,2025-03-12 00:00:00,Literatura,Cognitiva,1,8,Cubierto,Por confirmar,https://www.armada.mde.es/MuseoNaval/,Disfruta de un literatura familiar en Museo Naval de Madrid en Madrid el 12 de March de 2025.
56,CosmoCaixa Barcelona,Barcelona,2025-09-17 00:00:00,Exposición,Auditiva,2,0,Cubierto,Gratis,https://cosmocaixa.org/,Disfruta de un exposición familiar en CosmoCaixa Barcelona en Barcelona el 17 de September de 2025.
58,Concierto Aitana Estadio Metropolitano,Madrid,2025-10-06 00:00:00,Concierto,Movilidad reducida,4,0,Cubierto,Desde 10€,https://aitanamusic.es/,Disfruta de un concierto familiar en Concierto Aitana Estadio Metropolitano en Madrid el 6 de October de 2025.
59,Museo del Prado actividades familiares,Bizkaia,2025-11-18 00:00:00,Parque Temático,Movilidad reducida,5,5,Cubierto,Por confirmar,https://www.museodelprado.es/,Disfruta de un parque temático familiar en Museo del Prado actividades familiares en Bizkaia el 18 de November de 2025.
60,Museo de la Felicidad Madrid,Madrid,2025-11-20 00:00:00,Parque Temático,Auditiva,3,5,Al aire libre,Desde 5€,https://www.museodelafelicidad.es/,Disfruta de un parque temático familiar en Museo de la Felicidad Madrid en Madrid el 20 de November de 2025.
61,Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-06-01 00:00:00,Concierto,Ninguna,4,5,Al aire libre,Desde 20€,https://parquedecabarceno.com/,Disfruta de un concierto familiar en Parque de la Naturaleza de Cabárceno Cantabria en Cantabria el 1 de June de 2025.
62,Museo de Cera de Madrid,Madrid,2025-05-15 00:00:00,Concierto,Movilidad reducida,5,8,Cubierto,Desde 10€,https://www.museoceramadrid.com/,Disfruta de un concierto familiar en Museo de Cera de Madrid en Madrid el 15 de May de 2025.
63,PortAventura World,Madrid,2025-09-17 00:00:00,Concierto,Movilidad reducida,4,5,Cubierto,Desde 30€,https://www.portaventuraworld.com/,Disfruta de un concierto familiar en PortAventura World en Madrid el 17 de September de 2025.
64,Festival Tomavistas Madrid,Madrid,2025-10-25 00:00:00,Parque Temático,Auditiva,5,8,Al aire libre,Desde 10€,https://www.tomavistasfestival.com/,Disfruta de un parque temático familiar en Festival Tomavistas Madrid en Madrid el 25 de October de 2025.
65,Zoo Aquarium de Madrid,Madrid,2025-08-21 00:00:00,Festival,Cognitiva,3,8,Cubierto,Por confirmar,https://www.zoomadrid.com/,Disfruta de un festival familiar en Zoo Aquarium de Madrid en Madrid el 21 de August de 2025.
66,L'Aquàrium Barcelona,Barcelona,2025-08-05 00:00:00,Exposición,Cognitiva,2,8,Cubierto,Desde 5€,https://www.aquariumbcn.com/,Disfruta de un exposición familiar en L'Aquàrium Barcelona en Barcelona el 5 de August de 2025.
67,Festival de los Sentidos Albacete,Albacete,2025-05-13 00:00:00,Museo,Ninguna,2,2,Al aire libre,Desde 10€,https://festivaldelossentidos.com/,Disfruta de un museo familiar en Festival de los Sentidos Albacete en Albacete el 13 de May de 2025.
68,Oceanogràfic Valencia,Valencia,2025-08-11 00:00:00,Parque Temático,Cognitiva,5,8,Cubierto,Desde 20€,https://www.oceanografic.org/,Disfruta de un parque temático familiar en Oceanogràfic Valencia en Valencia el 11 de August de 2025.
69,Museo del Mar de Galicia,A Coruña,2025-12-04 00:00:00,Literatura,Ninguna,1,0,Cubierto,Gratis,https://museodomar.xunta.gal/,Disfruta de un literatura familiar en Museo del Mar de Galicia en A Coruña el 4 de December de 2025.
70,Museo Nacional de Ciencias Naturales,Madrid,2025-11-05 00:00:00,Festival,Movilidad reducida,5,5,Cubierto,Gratis,https://www.mncn.csic.es/,Disfruta de un festival familiar en Museo Nacional de Ciencias Naturales en Madrid el 5 de November de 2025.
71,Parque Faunia Madrid,Madrid,2025-11-16 00:00:00,Festival,Ninguna,5,8,Cubierto,Gratis,https://www.faunia.es/,Disfruta de un festival familiar en Parque Faunia Madrid en Madrid el 16 de November de 2025.
72,Museo del Ferrocarril de Madrid,Madrid,2025-10-02 00:00:00,Literatura,Ninguna,2,2,Al aire libre,Desde 5€,https://www.museodelferrocarril.org/,Disfruta de un literatura familiar en Museo del Ferrocarril de Madrid en Madrid el 2 de October de 2025.
73,Museo del Ferrocarril de Madrid,Madrid,2025-10-29 00:00:00,Exposición,Movilidad reducida,2,5,Al aire libre,Desde 30€,https://www.museodelferrocarril.org/,Disfruta de un exposición familiar en Museo del Ferrocarril de Madrid en Madrid el 29 de October de 2025.
74,Isla Mágica Sevilla,Sevilla,2025-01-08 00:00:00,Museo,Ninguna,1,0,Cubierto,Desde 10€,https://www.islamagica.es/,Disfruta de un museo familiar en Isla Mágica Sevilla en Sevilla el 8 de January de 2025.
75,Bioparc Valencia,Valencia,2025-02-18 00:00:00,Festival,Auditiva,5,8,Cubierto,Por confirmar,https://www.bioparcvalencia.es/,Disfruta de un festival familiar en Bioparc Valencia en Valencia el 18 de February de 2025.
76,Oceanogràfic Valencia,Valencia,2025-07-26 00:00:00,Festival,Ninguna,5,8,Cubierto,Por confirmar,https://www.oceanografic.org/,Disfruta de un festival familiar en Oceanogràfic Valencia en Valencia el 26 de July de 2025.
77,Oceanogràfic Valencia,Valencia,2025-10-25 00:00:00,Concierto,Cognitiva,3,5,Cubierto,Gratis,https://www.oceanografic.org/,Disfruta de un concierto familiar en Oceanogràfic Valencia en Valencia el 25 de October de 2025.
78,Festival de Magia - Parque de Atracciones,Madrid,2025-01-01 00:00:00,Parque Temático,Ninguna,5,8,Al aire libre,Desde 10€,https://parquedeatracciones.es/eventos/festival-magia,Disfruta de un parque temático familiar en Festival de Magia - Parque de Atracciones en Madrid el 1 de January de 2025.
79,Festival Emérita Lúdica Mérida,Badajoz,2025-05-30 00:00:00,Parque Temático,Ninguna,5,0,Cubierto,Desde 30€,https://meridaludica.com/,Disfruta de un parque temático familiar en Festival Emérita Lúdica Mérida en Badajoz el 30 de May de 2025.
80,Parque Gulliver Valencia,Valencia,2025-11-12 00:00:00,Concierto,Movilidad reducida,3,2,Cubierto,Gratis,https://www.visitvalencia.com/,Disfruta de un concierto familiar en Parque Gulliver Valencia en Valencia el 12 de November de 2025.
81,Museo de la Felicidad Madrid,Madrid,2025-02-10 00:00:00,Parque Temático,Ninguna,3,0,Al aire libre,Desde 20€,https://www.museodelafelicidad.es/,Disfruta de un parque temático familiar en Museo de la Felicidad Madrid en Madrid el 10 de February de 2025.
82,Museo del Ferrocarril de Madrid,Madrid,2025-03-30 00:00:00,Parque Temático,Visual,3,0,Cubierto,Por confirmar,https://www.museodelferrocarril.org/,Disfruta de un parque temático familiar en Museo del Ferrocarril de Madrid en Madrid el 30 de March de 2025.
83,Parque Warner Madrid,Madrid,2025-10-31 00:00:00,Espectáculo,Cognitiva,5,8,Al aire libre,Gratis,https://www.parquewarner.com/,Disfruta de un espectáculo familiar en Parque Warner Madrid en Madrid el 31 de October de 2025.
84,Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-02-17 00:00:00,Exposición,Movilidad reducida,1,2,Al aire libre,Desde 10€,https://parquedecabarceno.com/,Disfruta de un exposición familiar en Parque de la Naturaleza de Cabárceno Cantabria en Cantabria el 17 de February de 2025.
85,Pinocho en el Circo - Teatro San Pol,Barcelona,2025-04-27 00:00:00,Parque Temático,Auditiva,5,0,Al aire libre,Gratis,https://teatrosanpol.com/,Disfruta de un parque temático familiar en Pinocho en el Circo - Teatro San Pol en Barcelona el 27 de April de 2025.
86,Museo Naval de Madrid,Madrid,2025-12-19 00:00:00,Concierto,Ninguna,5,5,Cubierto,Por confirmar,https://www.armada.mde.es/MuseoNaval/,Disfruta de un concierto familiar en Museo Naval de Madrid en Madrid el 19 de December de 2025.
87,Museo Interactivo de la Música Málaga,Málaga,2025-03-23 00:00:00,Espectáculo,Visual,4,2,Al aire libre,Desde 20€,https://www.musicaenaccion.com/,Disfruta de un espectáculo familiar en Museo Interactivo de la Música Málaga en Málaga el 23 de March de 2025.
88,Parque de Aventuras Amazonia,Madrid,2025-10-26 00:00:00,Parque Temático,Movilidad reducida,3,5,Al aire libre,Desde 20€,https://www.parqueaventuraamazonia.com/,Disfruta de un parque temático familiar en Parque de Aventuras Amazonia en Madrid el 26 de October de 2025.
89,Festival Tomavistas Madrid,Madrid,2025-03-21 00:00:00,Espectáculo,Movilidad reducida,5,8,Cubierto,Desde 10€,https://www.tomavistasfestival.com/,Disfruta de un espectáculo familiar en Festival Tomavistas Madrid en Madrid el 21 de March de 2025.
90,Pinocho en el Circo - Teatro San Pol,Barcelona,2025-12-04 00:00:00,Literatura,Auditiva,2,8,Al aire libre,Por confirmar,https://teatrosanpol.com/,Disfruta de un literatura familiar en Pinocho en el Circo - Teatro San Pol en Barcelona el 4 de December de 2025.
91,Dinópolis Teruel,Teruel,2025-10-27 00:00:00,Parque Temático,Visual,3,5,Cubierto,Por confirmar,https://www.dinopolis.com/,Disfruta de un parque temático familiar en Dinópolis Teruel en Teruel el 27 de October de 2025.
92,Festival de los Sentidos Albacete,Albacete,2025-09-26 00:00:00,Parque Temático,Ninguna,3,5,Cubierto,Desde 30€,https://festivaldelossentidos.com/,Disfruta de un parque temático familiar en Festival de los Sentidos Albacete en Albacete el 26 de September de 2025.
93,Museo Naval de Madrid,Madrid,2025-05-23 00:00:00,Espectáculo,Auditiva,3,0,Cubierto,Desde 20€,https://www.armada.mde.es/MuseoNaval/,Disfruta de un espectáculo familiar en Museo Naval de Madrid en Madrid el 23 de May de 2025.
94,Parque Warner Madrid,Madrid,2025-01-13 00:00:00,Espectáculo,Auditiva,3,5,Al aire libre,Desde 10€,https://www.parquewarner.com/,Disfruta de un espectáculo familiar en Parque Warner Madrid en Madrid el 13 de January de 2025.
95,Familyland Tres Cantos,Madrid,2025-06-01 00:00:00,Parque Temático,Auditiva,3,0,Al aire libre,Desde 20€,https://familyland.es/,Disfruta de un parque temático familiar en Familyland Tres Cantos en Madrid el 1 de June de 2025.
96,Festival Pirineos Sur,Madrid,2025-02-09 00:00:00,Literatura,Movilidad reducida,1,8,Cubierto,Desde 10€,https://pirineos-sur.es/,Disfruta de un literatura familiar en Festival Pirineos Sur en Madrid el 9 de February de 2025.
97,Isla Mágica Sevilla,Sevilla,2025-01-30 00:00:00,Exposición,Ninguna,1,8,Al aire libre,Desde 20€,https://www.islamagica.es/,Disfruta de un exposición familiar en Isla Mágica Sevilla en Sevilla el 30 de January de 2025.
98,Museo Interactivo de la Música Málaga,Málaga,2025-05-12 00:00:00,Literatura,Auditiva,2,8,Al aire libre,Por confirmar,https://www.musicaenaccion.com/,Disfruta de un literatura familiar en Museo Interactivo de la Música Málaga en Málaga el 12 de May de 2025.
99,Acuario de Gijón,Asturias,2025-10-19 00:00:00,Concierto,Auditiva,5,2,Cubierto,Desde 20€,https://acuariodegijon.es/,Disfruta de un concierto familiar en Acuario de Gijón en Asturias el 19 de October de 2025.
100,L'Aquàrium Barcelona,Barcelona,2025-05-09 00:00:00,Festival,Visual,5,2,Al aire libre,Desde 30€,https://www.aquariumbcn.com/,Disfruta de un festival familiar en L'Aquàrium Barcelona en Barcelona el 9 de May de 2025.
101,Festival Pirineos Sur,Madrid,2025-12-21 00:00:00,Espectáculo,Auditiva,4,8,Cubierto,Desde 30€,https://pirineos-sur.es/,Disfruta de un espectáculo familiar en Festival Pirineos Sur en Madrid el 21 de December de 2025.
102,Museo de la Ciencia Valladolid,Valladolid,2025-05-26 00:00:00,Exposición,Movilidad reducida,2,5,Al aire libre,Desde 20€,https://museocienciavalladolid.es/,Disfruta de un exposición familiar en Museo de la Ciencia Valladolid en Valladolid el 26 de May de 2025.
103,Festival Emérita Lúdica Mérida,Badajoz,2025-07-08 00:00:00,Festival,Cognitiva,5,8,Al aire libre,Desde 5€,https://meridaludica.com/,Disfruta de un festival familiar en Festival Emérita Lúdica Mérida en Badajoz el 8 de July de 2025.
104,Museo del Ferrocarril de Madrid,Madrid,2025-08-14 00:00:00,Parque Temático,Cognitiva,4,2,Cubierto,Desde 20€,https://www.museodelferrocarril.org/,Disfruta de un parque temático familiar en Museo del Ferrocarril de Madrid en Madrid el 14 de August de 2025.
105,Museo de las Ilusiones Madrid,Madrid,2025-11-11 00:00:00,Literatura,Visual,1,8,Al aire libre,Por confirmar,https://museumofillusions.es/madrid/,Disfruta de un literatura familiar en Museo de las Ilusiones Madrid en Madrid el 11 de November de 2025.
106,Museo Nacional de Ciencias Naturales,Madrid,2025-06-22 00:00:00,Concierto,Cognitiva,4,2,Cubierto,Desde 10€,https://www.mncn.csic.es/,Disfruta de un concierto familiar en Museo Nacional de Ciencias Naturales en Madrid el 22 de June de 2025.
107,Jurassic World Experience Madrid,Madrid,2025-08-10 00:00:00,Parque Temático,Auditiva,3,2,Al aire libre,Desde 20€,https://jurassicworldexperience.es/,Disfruta de un parque temático familiar en Jurassic World Experience Madrid en Madrid el 10 de August de 2025.
108,Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-06-10 00:00:00,Espectáculo,Visual,3,0,Cubierto,Desde 5€,https://parquedecabarceno.com/,Disfruta de un espectáculo familiar en Parque de la Naturaleza de Cabárceno Cantabria en Cantabria el 10 de June de 2025.
109,Museo Naval de Madrid,Madrid,2025-01-11 00:00:00,Concierto,Ninguna,3,2,Al aire libre,Gratis,https://www.armada.mde.es/MuseoNaval/,Disfruta de un concierto familiar en Museo Naval de Madrid en Madrid el 11 de January de 2025.
110,Festival de Magia - Parque de Atracciones,Madrid,2025-03-12 00:00:00,Parque Temático,Visual,5,2,Cubierto,Por confirmar,https://parquedeatracciones.es/eventos/festival-magia,Disfruta de un parque temático familiar en Festival de Magia - Parque de Atracciones en Madrid el 12 de March de 2025.
111,Parque Gulliver Valencia,Valencia,2025-06-06 00:00:00,Festival,Cognitiva,4,8,Al aire libre,Por confirmar,https://www.visitvalencia.com/,Disfruta de un festival familiar en Parque Gulliver Valencia en Valencia el 6 de June de 2025.
112,Festival de Magia - Parque de Atracciones,Madrid,2025-02-21 00:00:00,Parque Temático,Visual,5,2,Al aire libre,Por confirmar,https://parquedeatracciones.es/eventos/festival-magia,Disfruta de un parque temático familiar en Festival de Magia - Parque de Atracciones en Madrid el 21 de February de 2025.
113,Harpia Balaguer Medieval Lleida,Lleida,2025-08-06 00:00:00,Parque Temático,Auditiva,3,8,Cubierto,Desde 30€,https://balaguer.cat/portal/,Disfruta de un parque temático familiar en Harpia Balaguer Medieval Lleida en Lleida el 6 de August de 2025.
114,Concierto Aitana Estadio Metropolitano,Madrid,2025-02-05 00:00:00,Parque Temático,Cognitiva,5,0,Al aire libre,Por confirmar,https://aitanamusic.es/,Disfruta de un parque temático familiar en Concierto Aitana Estadio Metropolitano en Madrid el 5 de February de 2025.
115,Feria Medieval Ibiza,Illes Balears,2025-04-30 00:00:00,Museo,Cognitiva,1,8,Cubierto,Por confirmar,https://ibiza.travel/,Disfruta de un museo familiar en Feria Medieval Ibiza en Illes Balears el 30 de April de 2025.
116,PortAventura World,Madrid,2025-08-06 00:00:00,Espectáculo,Auditiva,3,5,Al aire libre,Gratis,https://www.portaventuraworld.com/,Disfruta de un espectáculo familiar en PortAventura World en Madrid el 6 de August de 2025.
