id_evento,nombre_evento,ubicacion,fecha,categoria,necesidad_especial,integrantes,edad_minima,modalidad,precio,link
59,Museo del Prado actividades familiares,familiares,2025-11-18 00:00:00,Parque Temático,Movilidad reducida,5,5,Cubierto,Por confirmar,https://www.museodelprado.es/
60,Museo de la Felicidad Madrid,Felicidad Madrid,2025-11-20 00:00:00,Parque Temático,Auditiva,3,5,Al aire libre,Desde 5€,https://www.museodelafelicidad.es/
61,Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-06-01 00:00:00,Concierto,Ninguna,4,5,Al aire libre,Desde 20€,https://parquedecabarceno.com/
62,Museo de Cera de Madrid,de Madrid,2025-05-15 00:00:00,Concierto,Movilidad reducida,5,8,Cubierto,Desde 10€,https://www.museoceramadrid.com/
63,PortAventura World,World,2025-09-17 00:00:00,Concierto,Movilidad reducida,4,5,Cubierto,Desde 30€,https://www.portaventuraworld.com/
64,Festival Tomavistas Madrid,Tomavistas Madrid,2025-10-25 00:00:00,Parque Temático,Auditiva,5,8,Al aire libre,Desde 10€,https://www.tomavistasfestival.com/
65,Zoo Aquarium de Madrid,de Madrid,2025-08-21 00:00:00,Festival,Cognitiva,3,8,Cubierto,Por confirmar,https://www.zoomadrid.com/
66,L'Aquàrium Barcelona,L'Aquàrium Barcelona,2025-08-05 00:00:00,Exposición,Cognitiva,2,8,Cubierto,Desde 5€,https://www.aquariumbcn.com/
67,Festival de los Sentidos Albacete,Albacete,2025-05-13 00:00:00,Museo,Ninguna,2,2,Al aire libre,Desde 10€,https://festivaldelossentidos.com/
68,Oceanogràfic Valencia,Oceanogràfic Valencia,2025-08-11 00:00:00,Parque Temático,Cognitiva,5,8,Cubierto,Desde 20€,https://www.oceanografic.org/
69,Museo del Mar de Galicia,Galicia,2025-12-04 00:00:00,Literatura,Ninguna,1,0,Cubierto,Gratis,https://museodomar.xunta.gal/
70,Museo Nacional de Ciencias Naturales,Naturales,2025-11-05 00:00:00,Festival,Movilidad reducida,5,5,Cubierto,Gratis,https://www.mncn.csic.es/
71,Parque Faunia Madrid,Faunia Madrid,2025-11-16 00:00:00,Festival,Ninguna,5,8,Cubierto,Gratis,https://www.faunia.es/
72,Museo del Ferrocarril de Madrid,de Madrid,2025-10-02 00:00:00,Literatura,Ninguna,2,2,Al aire libre,Desde 5€,https://www.museodelferrocarril.org/
73,Museo del Ferrocarril de Madrid,de Madrid,2025-10-29 00:00:00,Exposición,Movilidad reducida,2,5,Al aire libre,Desde 30€,https://www.museodelferrocarril.org/
74,Isla Mágica Sevilla,Mágica Sevilla,2025-01-08 00:00:00,Museo,Ninguna,1,0,Cubierto,Desde 10€,https://www.islamagica.es/
75,Bioparc Valencia,Bioparc Valencia,2025-02-18 00:00:00,Festival,Auditiva,5,8,Cubierto,Por confirmar,https://www.bioparcvalencia.es/
76,Oceanogràfic Valencia,Oceanogràfic Valencia,2025-07-26 00:00:00,Festival,Ninguna,5,8,Cubierto,Por confirmar,https://www.oceanografic.org/
77,Oceanogràfic Valencia,Oceanogràfic Valencia,2025-10-25 00:00:00,Concierto,Cognitiva,3,5,Cubierto,Gratis,https://www.oceanografic.org/
78,Festival de Magia - Parque de Atracciones,Atracciones,2025-01-01 00:00:00,Parque Temático,Ninguna,5,8,Al aire libre,Desde 10€,https://parquedeatracciones.es/eventos/festival-magia
79,Festival Emérita Lúdica Mérida,Mérida,2025-05-30 00:00:00,Parque Temático,Ninguna,5,0,Cubierto,Desde 30€,https://meridaludica.com/
80,Parque Gulliver Valencia,Gulliver Valencia,2025-11-12 00:00:00,Concierto,Movilidad reducida,3,2,Cubierto,Gratis,https://www.visitvalencia.com/
81,Museo de la Felicidad Madrid,Felicidad Madrid,2025-02-10 00:00:00,Parque Temático,Ninguna,3,0,Al aire libre,Desde 20€,https://www.museodelafelicidad.es/
82,Museo del Ferrocarril de Madrid,de Madrid,2025-03-30 00:00:00,Parque Temático,Visual,3,0,Cubierto,Por confirmar,https://www.museodelferrocarril.org/
83,Parque Warner Madrid,Warner Madrid,2025-10-31 00:00:00,Espectáculo,Cognitiva,5,8,Al aire libre,Gratis,https://www.parquewarner.com/
84,Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-02-17 00:00:00,Exposición,Movilidad reducida,1,2,Al aire libre,Desde 10€,https://parquedecabarceno.com/
85,Pinocho en el Circo - Teatro San Pol,Pol,2025-04-27 00:00:00,Parque Temático,Auditiva,5,0,Al aire libre,Gratis,https://teatrosanpol.com/
86,Museo Naval de Madrid,de Madrid,2025-12-19 00:00:00,Concierto,Ninguna,5,5,Cubierto,Por confirmar,https://www.armada.mde.es/MuseoNaval/
87,Museo Interactivo de la Música Málaga,Málaga,2025-03-23 00:00:00,Espectáculo,Visual,4,2,Al aire libre,Desde 20€,https://www.musicaenaccion.com/
88,Parque de Aventuras Amazonia,Amazonia,2025-10-26 00:00:00,Parque Temático,Movilidad reducida,3,5,Al aire libre,Desde 20€,https://www.parqueaventuraamazonia.com/
89,Festival Tomavistas Madrid,Tomavistas Madrid,2025-03-21 00:00:00,Espectáculo,Movilidad reducida,5,8,Cubierto,Desde 10€,https://www.tomavistasfestival.com/
90,Pinocho en el Circo - Teatro San Pol,Pol,2025-12-04 00:00:00,Literatura,Auditiva,2,8,Al aire libre,Por confirmar,https://teatrosanpol.com/
91,Dinópolis Teruel,Teruel,2025-10-27 00:00:00,Parque Temático,Visual,3,5,Cubierto,Por confirmar,https://www.dinopolis.com/
92,Festival de los Sentidos Albacete,Albacete,2025-09-26 00:00:00,Parque Temático,Ninguna,3,5,Cubierto,Desde 30€,https://festivaldelossentidos.com/
93,Museo Naval de Madrid,de Madrid,2025-05-23 00:00:00,Espectáculo,Auditiva,3,0,Cubierto,Desde 20€,https://www.armada.mde.es/MuseoNaval/
94,Parque Warner Madrid,Warner Madrid,2025-01-13 00:00:00,Espectáculo,Auditiva,3,5,Al aire libre,Desde 10€,https://www.parquewarner.com/
95,Familyland Tres Cantos,Cantos,2025-06-01 00:00:00,Parque Temático,Auditiva,3,0,Al aire libre,Desde 20€,https://familyland.es/
96,Festival Pirineos Sur,Sur,2025-02-09 00:00:00,Literatura,Movilidad reducida,1,8,Cubierto,Desde 10€,https://pirineos-sur.es/
97,Isla Mágica Sevilla,Mágica Sevilla,2025-01-30 00:00:00,Exposición,Ninguna,1,8,Al aire libre,Desde 20€,https://www.islamagica.es/
98,Museo Interactivo de la Música Málaga,Málaga,2025-05-12 00:00:00,Literatura,Auditiva,2,8,Al aire libre,Por confirmar,https://www.musicaenaccion.com/
99,Acuario de Gijón,Gijón,2025-10-19 00:00:00,Concierto,Auditiva,5,2,Cubierto,Desde 20€,https://acuariodegijon.es/
100,L'Aquàrium Barcelona,L'Aquàrium Barcelona,2025-05-09 00:00:00,Festival,Visual,5,2,Al aire libre,Desde 30€,https://www.aquariumbcn.com/
101,Festival Pirineos Sur,Sur,2025-12-21 00:00:00,Espectáculo,Auditiva,4,8,Cubierto,Desde 30€,https://pirineos-sur.es/
102,Museo de la Ciencia Valladolid,Valladolid,2025-05-26 00:00:00,Exposición,Movilidad reducida,2,5,Al aire libre,Desde 20€,https://museocienciavalladolid.es/
103,Festival Emérita Lúdica Mérida,Mérida,2025-07-08 00:00:00,Festival,Cognitiva,5,8,Al aire libre,Desde 5€,https://meridaludica.com/
104,Museo del Ferrocarril de Madrid,de Madrid,2025-08-14 00:00:00,Parque Temático,Cognitiva,4,2,Cubierto,Desde 20€,https://www.museodelferrocarril.org/
105,Museo de las Ilusiones Madrid,Ilusiones Madrid,2025-11-11 00:00:00,Literatura,Visual,1,8,Al aire libre,Por confirmar,https://museumofillusions.es/madrid/
106,Museo Nacional de Ciencias Naturales,Naturales,2025-06-22 00:00:00,Concierto,Cognitiva,4,2,Cubierto,Desde 10€,https://www.mncn.csic.es/
107,Jurassic World Experience Madrid,Experience Madrid,2025-08-10 00:00:00,Parque Temático,Auditiva,3,2,Al aire libre,Desde 20€,https://jurassicworldexperience.es/
108,Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-06-10 00:00:00,Espectáculo,Visual,3,0,Cubierto,Desde 5€,https://parquedecabarceno.com/
109,Museo Naval de Madrid,de Madrid,2025-01-11 00:00:00,Concierto,Ninguna,3,2,Al aire libre,Gratis,https://www.armada.mde.es/MuseoNaval/
110,Festival de Magia - Parque de Atracciones,Atracciones,2025-03-12 00:00:00,Parque Temático,Visual,5,2,Cubierto,Por confirmar,https://parquedeatracciones.es/eventos/festival-magia
111,Parque Gulliver Valencia,Gulliver Valencia,2025-06-06 00:00:00,Festival,Cognitiva,4,8,Al aire libre,Por confirmar,https://www.visitvalencia.com/
112,Festival de Magia - Parque de Atracciones,Atracciones,2025-02-21 00:00:00,Parque Temático,Visual,5,2,Al aire libre,Por confirmar,https://parquedeatracciones.es/eventos/festival-magia
113,Harpia Balaguer Medieval Lleida,Lleida,2025-08-06 00:00:00,Parque Temático,Auditiva,3,8,Cubierto,Desde 30€,https://balaguer.cat/portal/
114,Concierto Aitana Estadio Metropolitano,Metropolitano,2025-02-05 00:00:00,Parque Temático,Cognitiva,5,0,Al aire libre,Por confirmar,https://aitanamusic.es/
115,Feria Medieval Ibiza,Ibiza,2025-04-30 00:00:00,Museo,Cognitiva,1,8,Cubierto,Por confirmar,https://ibiza.travel/
116,PortAventura World,World,2025-08-06 00:00:00,Espectáculo,Auditiva,3,5,Al aire libre,Gratis,https://www.portaventuraworld.com/
117,CosmoCaixa Barcelona,CosmoCaixa Barcelona,2025-04-20 00:00:00,Parque Temático,Visual,3,2,Al aire libre,Desde 5€,https://cosmocaixa.org/
118,Festival Tomavistas Madrid,Tomavistas Madrid,2025-11-02 00:00:00,Espectáculo,Auditiva,5,5,Cubierto,Gratis,https://www.tomavistasfestival.com/
119,Feria del Caballo Jerez,Jerez,2025-07-14 00:00:00,Concierto,Visual,4,5,Al aire libre,Gratis,https://feriadelcaballojerez.com/
120,Isla Mágica Sevilla,Mágica Sevilla,2025-01-28 00:00:00,Museo,Cognitiva,1,5,Al aire libre,Desde 30€,https://www.islamagica.es/
121,Atlantis Aquarium Madrid,Aquarium Madrid,2025-05-18 00:00:00,Museo,Movilidad reducida,2,2,Cubierto,Desde 30€,https://www.atlantisaquarium-madrid.es/
122,Zoo Aquarium de Madrid,de Madrid,2025-05-04 00:00:00,Exposición,Visual,1,8,Cubierto,Desde 10€,https://www.zoomadrid.com/
123,L'Aquàrium Barcelona,L'Aquàrium Barcelona,2025-01-08 00:00:00,Concierto,Cognitiva,5,0,Cubierto,Por confirmar,https://www.aquariumbcn.com/
124,Pueblo Español de Barcelona,de Barcelona,2025-09-10 00:00:00,Festival,Auditiva,4,2,Cubierto,Gratis,https://poble-espanyol.com/
125,Museo de Cera de Madrid,de Madrid,2025-05-11 00:00:00,Parque Temático,Ninguna,4,0,Cubierto,Por confirmar,https://www.museoceramadrid.com/
126,Museo Interactivo de la Música Málaga,Málaga,2025-02-05 00:00:00,Museo,Ninguna,1,8,Al aire libre,Desde 20€,https://www.musicaenaccion.com/
127,Oceanogràfic Valencia,Oceanogràfic Valencia,2025-08-17 00:00:00,Espectáculo,Ninguna,5,5,Cubierto,Gratis,https://www.oceanografic.org/
128,Festival de Magia - Parque de Atracciones,Atracciones,2025-12-29 00:00:00,Festival,Cognitiva,3,2,Cubierto,Desde 30€,https://parquedeatracciones.es/eventos/festival-magia
129,Ciudad de las Artes y las Ciencias Valencia,Ciencias Valencia,2025-05-13 00:00:00,Concierto,Auditiva,4,5,Cubierto,Desde 30€,https://cac.es/
130,Familyland Tres Cantos,Cantos,2025-06-25 00:00:00,Museo,Cognitiva,2,2,Cubierto,Desde 10€,https://familyland.es/
131,Harpia Balaguer Medieval Lleida,Lleida,2025-03-30 00:00:00,Espectáculo,Cognitiva,3,5,Al aire libre,Desde 5€,https://balaguer.cat/portal/
132,Biblioteca Eugenio Trías actividades infantiles,infantiles,2025-07-03 00:00:00,Museo,Auditiva,1,2,Al aire libre,Desde 20€,https://www.madrid.es/portales/munimadrid
133,CaixaForum Barcelona,CaixaForum Barcelona,2025-02-08 00:00:00,Festival,Visual,5,5,Al aire libre,Desde 20€,https://caixaforum.org/es/barcelona
134,CaixaForum Madrid,CaixaForum Madrid,2025-02-02 00:00:00,Festival,Auditiva,5,8,Al aire libre,Desde 5€,https://caixaforum.org/es/madrid
135,CosmoCaixa Barcelona,CosmoCaixa Barcelona,2025-05-16 00:00:00,Concierto,Ninguna,3,8,Cubierto,Desde 30€,https://cosmocaixa.org/
136,Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-01-09 00:00:00,Festival,Auditiva,5,0,Al aire libre,Desde 20€,https://parquedecabarceno.com/
137,PortAventura World,World,2025-09-14 00:00:00,Espectáculo,Auditiva,5,2,Al aire libre,Desde 10€,https://www.portaventuraworld.com/
138,Museo Guggenheim actividades familiares,familiares,2025-07-13 00:00:00,Espectáculo,Movilidad reducida,4,8,Cubierto,Por confirmar,https://www.guggenheim-bilbao.eus/
139,Museo Interactivo de la Música Málaga,Málaga,2025-01-07 00:00:00,Exposición,Ninguna,1,2,Al aire libre,Gratis,https://www.musicaenaccion.com/
140,Museo del Mar de Galicia,Galicia,2025-09-25 00:00:00,Concierto,Ninguna,5,8,Cubierto,Desde 5€,https://museodomar.xunta.gal/
141,CaixaForum Barcelona,CaixaForum Barcelona,2025-03-16 00:00:00,Exposición,Auditiva,2,8,Cubierto,Por confirmar,https://caixaforum.org/es/barcelona
142,Festival Pirineos Sur,Sur,2025-12-05 00:00:00,Espectáculo,Visual,4,0,Cubierto,Por confirmar,https://pirineos-sur.es/
143,Harpia Balaguer Medieval Lleida,Lleida,2025-07-22 00:00:00,Exposición,Ninguna,2,5,Al aire libre,Desde 20€,https://balaguer.cat/portal/
144,Museo de la Felicidad Madrid,Felicidad Madrid,2025-08-26 00:00:00,Exposición,Ninguna,2,0,Al aire libre,Desde 20€,https://www.museodelafelicidad.es/
145,Pinocho en el Circo - Teatro San Pol,Pol,2025-06-19 00:00:00,Literatura,Auditiva,2,8,Al aire libre,Desde 10€,https://teatrosanpol.com/
146,Feria del Caballo Jerez,Jerez,2025-02-25 00:00:00,Literatura,Auditiva,2,5,Al aire libre,Desde 30€,https://feriadelcaballojerez.com/
147,Karting Ángel Burgueño Madrid,Burgueño Madrid,2025-05-04 00:00:00,Festival,Cognitiva,3,2,Cubierto,Desde 30€,https://kartingangelburgueno.com/
148,Museo de la Ciencia Valladolid,Valladolid,2025-03-17 00:00:00,Literatura,Visual,2,5,Al aire libre,Por confirmar,https://museocienciavalladolid.es/
149,Concierto Aitana Estadio Metropolitano,Metropolitano,2025-11-19 00:00:00,Concierto,Cognitiva,5,2,Al aire libre,Gratis,https://aitanamusic.es/
150,Feria del Caballo Jerez,Jerez,2025-09-15 00:00:00,Literatura,Cognitiva,2,2,Cubierto,Gratis,https://feriadelcaballojerez.com/
151,Karting Ángel Burgueño Madrid,Burgueño Madrid,2025-05-21 00:00:00,Museo,Movilidad reducida,1,0,Cubierto,Por confirmar,https://kartingangelburgueno.com/
152,Festival Tomavistas Madrid,Tomavistas Madrid,2025-09-29 00:00:00,Literatura,Cognitiva,2,2,Al aire libre,Desde 5€,https://www.tomavistasfestival.com/
153,Ciudad de las Artes y las Ciencias Valencia,Ciencias Valencia,2025-07-15 00:00:00,Exposición,Visual,1,5,Al aire libre,Gratis,https://cac.es/
154,Parque Gulliver Valencia,Gulliver Valencia,2025-11-11 00:00:00,Museo,Cognitiva,2,5,Cubierto,Por confirmar,https://www.visitvalencia.com/
155,Museo del Mar de Galicia,Galicia,2025-06-21 00:00:00,Museo,Auditiva,1,0,Al aire libre,Desde 20€,https://museodomar.xunta.gal/
156,Isla Mágica Sevilla,Mágica Sevilla,2025-06-08 00:00:00,Exposición,Movilidad reducida,2,5,Cubierto,Desde 30€,https://www.islamagica.es/
157,Festival Pirineos Sur,Sur,2025-07-28 00:00:00,Exposición,Auditiva,1,0,Al aire libre,Desde 10€,https://pirineos-sur.es/
158,Karting Ángel Burgueño Madrid,Burgueño Madrid,2025-11-26 00:00:00,Exposición,Movilidad reducida,1,5,Al aire libre,Desde 5€,https://kartingangelburgueno.com/
159,Feria Medieval Ibiza,Ibiza,2025-12-04 00:00:00,Literatura,Movilidad reducida,1,5,Al aire libre,Por confirmar,https://ibiza.travel/
160,Castillo de Manzanares el Real,Real,2025-08-09 00:00:00,Festival,Ninguna,5,8,Al aire libre,Desde 5€,https://www.comunidad.madrid/cultura/patrimonio-cultural/castillo-manzanares-real
161,Laberinto de Villapresente Cantabria,Cantabria,2025-10-04 00:00:00,Parque Temático,Movilidad reducida,5,0,Al aire libre,Desde 30€,https://laberintodevillapresente.es/
162,Museo de Cera de Madrid,de Madrid,2025-07-15 00:00:00,Parque Temático,Movilidad reducida,4,5,Al aire libre,Desde 10€,https://www.museoceramadrid.com/
163,Museo Nacional de Ciencias Naturales,Naturales,2025-04-03 00:00:00,Espectáculo,Auditiva,5,8,Cubierto,Desde 30€,https://www.mncn.csic.es/
164,Parque Faunia Madrid,Faunia Madrid,2025-07-18 00:00:00,Espectáculo,Movilidad reducida,3,2,Al aire libre,Gratis,https://www.faunia.es/
165,Pinocho en el Circo - Teatro San Pol,Pol,2025-10-21 00:00:00,Concierto,Ninguna,3,5,Al aire libre,Desde 30€,https://teatrosanpol.com/
166,Castillo de Manzanares el Real,Real,2025-01-26 00:00:00,Festival,Cognitiva,5,2,Cubierto,Desde 5€,https://www.comunidad.madrid/cultura/patrimonio-cultural/castillo-manzanares-real
167,Museo Naval de Madrid,de Madrid,2025-05-27 00:00:00,Exposición,Visual,2,8,Al aire libre,Desde 30€,https://www.armada.mde.es/MuseoNaval/
168,Museo de las Ilusiones Madrid,Ilusiones Madrid,2025-06-29 00:00:00,Literatura,Ninguna,2,5,Al aire libre,Desde 10€,https://museumofillusions.es/madrid/
169,Museo del Chocolate Astorga,Astorga,2025-04-17 00:00:00,Museo,Movilidad reducida,2,0,Cubierto,Desde 20€,https://museodelchocolateastorga.com/
170,Familyland Tres Cantos,Cantos,2025-02-27 00:00:00,Museo,Ninguna,1,8,Cubierto,Desde 5€,https://familyland.es/
