nombre_evento,Imagen,categoria,ciudad,descripcion,necesidad_especial,fecha_evento,precio,fecha
"Así es El Rastro de Madrid para los más pequeños: jugar, buscar tesoros e intercambiar cromos","<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/pexels-osviel-rodriguez-valdes-716702230-31821307-scaled.jpg"" width=""120"">",Salud,Valencia,Un plan divertido y educativo para disfrutar en familia.,motora,2025-08-31,por confirmar,
"Restaurante Disney en Madrid, donde la magia cobra vida","<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/Diseno-sin-titulo-10.png"" width=""120"">",Ocio,Madrid,Diversión asegurada para grandes y pequeños.,motora,2025-10-04,por confirmar,
Motocrossity Oasiz Madrid para niños: adrenalina y diversión sobre ruedas,"<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/Captura-de-pantalla-2025-04-29-123012.png"" width=""120"">",Viajes,Madrid,Diversión asegurada para grandes y pequeños.,motora,2025-09-29,por confirmar,
Freakcon 2025 Torremolinos: el paraíso friki,"<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/Captura-de-pantalla-2025-04-25-111628.png"" width=""120"">",Shopping,Sevilla,Una experiencia inolvidable para toda la familia.,motora,2025-06-28,por confirmar,
"Las mejores verbenas de San Isidro 2025: música, rosquillas y diversión","<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/San-Isidro-en-Madrid-2019-5.jpg"" width=""120"">",Ocio,Madrid,Oportunidad perfecta para aprender y divertirse.,motora,2025-11-04,por confirmar,
"San Isidro 2025 en Madrid: tradiciones, verbenas y planes para disfrutar con niños","<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/fiestassanisidro_2022_bailes.jpg"" width=""120"">",Ocio,Valencia,Un plan divertido y educativo para disfrutar en familia.,motora,2025-06-29,por confirmar,
Safari Madrid: un viaje salvaje desde tu coche,"<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/05/95865940246_o.jpg"" width=""120"">",Educación,Bilbao,Plan perfecto para disfrutar del tiempo libre.,motora,2025-07-27,por confirmar,
Qué hacer en Madrid en mayo con niños: planes para aprovechar el mes a lo grande,"<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/JWE-DE-Slider-Dino-Selfies2.jpg"" width=""120"">",Estilo de vida,Sevilla,Plan perfecto para disfrutar del tiempo libre.,motora,2025-07-08,por confirmar,
"Feria del Barro de Aranjuez 2025: talleres, conciertos y mucha cerámica este fin de semana","<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/feria-de-barro-en-Aranjuez.jpg"" width=""120"">",Salud,Madrid,Una experiencia inolvidable para toda la familia.,motora,2025-08-05,por confirmar,
"The Champions Burger en Las Rozas: hamburguesas XXL, retos y diversión","<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/Galeria-The-Champions-Burger-38.jpg"" width=""120"">",Viajes,Sevilla,Una experiencia inolvidable para toda la familia.,motora,2025-09-15,por confirmar,
Rutas de senderismo en Madrid con bebés: planes tranquilos y naturales,"<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/2150166370.jpg"" width=""120"">",Viajes,Madrid,Diversión asegurada para grandes y pequeños.,motora,2025-10-03,por confirmar,
Programa completo San Isidro 2025 en Madrid,"<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/Programa-Completo.png"" width=""120"">",Viajes,Sevilla,Un plan divertido y educativo para disfrutar en familia.,motora,2025-06-16,por confirmar,
Así es Lola Lolita Land: el festival acuático que los niños no querrán perderse,"<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/Captura-de-pantalla-2025-04-23-094034.png"" width=""120"">",Viajes,Sevilla,Oportunidad perfecta para aprender y divertirse.,motora,2025-10-20,por confirmar,
"Hop Galaxy, parque infantil en Madrid: una aventura galáctica para los más pequeños","<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/Sin-titulo-Presentacion.png"" width=""120"">",Viajes,Valencia,Plan perfecto para disfrutar del tiempo libre.,motora,2025-10-09,por confirmar,
Los mejores túneles de viento en Madrid para volar con niños,"<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/Captura-de-pantalla-2025-04-16-093942.png"" width=""120"">",Estilo de vida,Bilbao,Actividad ideal para pasar el fin de semana con los niños.,motora,2025-06-28,por confirmar,
Los Mundos de Alicia en CaixaForum Madrid gratis para menores de 16 años,"<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/Alicia_Frame_Big2.jpg"" width=""120"">",Estilo de vida,Barcelona,Una experiencia inolvidable para toda la familia.,motora,2025-07-19,por confirmar,
"Planes con niños en Santa Pola, Torrevieja y Guardamar del Segura: diversión, naturaleza y cultura junto al mar","<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/Pola-park-1.jpg"" width=""120"">",Shopping,Sevilla,Diversión asegurada para grandes y pequeños.,motora,2025-06-09,por confirmar,
Las mejores rutas de senderismo fáciles cerca de Madrid para hacer en familia,"<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/01/2147665056.jpg"" width=""120"">",Viajes,Madrid,Diversión asegurada para grandes y pequeños.,motora,2025-06-14,por confirmar,
Teatro Maravillas de Madrid: cultura y diversión para toda la familia con obras como Peter Pan,"<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/young-kids-rehearsing-play-perform-theatre-stage-scaled.jpg"" width=""120"">",Educación,Sevilla,Plan perfecto para disfrutar del tiempo libre.,motora,2025-06-22,por confirmar,
Más de 200 actividades en la guía de turismo familiar presentada por la Comunidad de Madrid,"<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/Imagen_Turismo-familiar.jpeg"" width=""120"">",Shopping,Bilbao,Oportunidad perfecta para aprender y divertirse.,motora,2025-10-23,por confirmar,
Planetario de Madrid con niños: exposiciones y proyecciones,"<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/03/2151354200.jpg"" width=""120"">",Estilo de vida,Barcelona,Oportunidad perfecta para aprender y divertirse.,motora,2025-09-17,por confirmar,
Enlightenment Madrid: un plan genial con luces y música para disfrutar en familia,"<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/570799-20241206_apfilmsbe_fever_enlightenment-22-1-f9e403-original-1737024461-scaled.jpg"" width=""120"">",Ocio,Barcelona,Un plan divertido y educativo para disfrutar en familia.,motora,2025-08-06,por confirmar,
"Rutas con niños en Madrid, naturaleza, historia y diversión","<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/Parque-El-Capricho-29.jpg"" width=""120"">",Ocio,Bilbao,Un plan divertido y educativo para disfrutar en familia.,motora,2025-10-26,por confirmar,
Autopía 2025: el evento para los amantes del motor,"<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/12.jpg"" width=""120"">",Ocio,Madrid,Actividad ideal para pasar el fin de semana con los niños.,motora,2025-09-30,por confirmar,
"Dónde hacer picnic en Madrid con niños: parques tranquilos, sombra y muchas sorpresas","<img src=""https://quehacerconlosninos.es/wp-content/uploads/2025/04/41556.jpg"" width=""120"">",Ocio,Valencia,Plan perfecto para disfrutar del tiempo libre.,motora,2025-10-01,por confirmar,
Jurassic World: The Experience,,Ocio,Madrid,Una experiencia inmersiva inspirada en Jurassic Park con dinosaurios a escala real.,ninguna,2025-06-30,por confirmar,
Campamento Urbano 2025,,Educación,Huesca,"Campamento con talleres creativos, deportes y excursiones para niños nacidos entre 2013 y 2021.",ninguna,2025-06-23,desde 10 euros,
Comic Con Málaga,,Ocio,Málaga,"Convención de cultura pop con cosplay, exhibiciones y actividades para toda la familia.",ninguna,2025-09-25,desde 20 euros,
Primavera del Euskera,,Estilo de vida,Tafalla,Evento cultural con talleres y actividades que fomentan el uso del euskera.,ninguna,2025-05-05,gratis,
Campamento de Liberación Emocional,,Salud,Palencia,Campamento gratuito para hijos de personas con cáncer con actividades acuáticas y culturales.,ninguna,2025-07-01,gratis,
Evento Familiar 1,,Salud,Barcelona,Una experiencia inolvidable para toda la familia.,ninguna,2025-09-23,desde 20 euros,
Evento Familiar 2,,Estilo de vida,Zaragoza,Plan perfecto para disfrutar del tiempo libre.,ninguna,2025-08-26,gratis,
Evento Familiar 3,,Ocio,Bilbao,Actividad ideal para pasar el fin de semana con los niños.,auditiva,2025-09-08,desde 10 euros,
Evento Familiar 4,,Educación,Zaragoza,Oportunidad perfecta para aprender y divertirse.,auditiva,2025-06-24,desde 10 euros,
Evento Familiar 5,,Educación,Valencia,Un plan divertido y educativo para disfrutar en familia.,auditiva,2025-07-17,desde 10 euros,
Evento Familiar 6,,Educación,Sevilla,Actividad ideal para pasar el fin de semana con los niños.,ninguna,2025-08-28,gratis,
Evento Familiar 7,,Shopping,Sevilla,Plan perfecto para disfrutar del tiempo libre.,ninguna,2025-10-11,desde 5 euros,
Evento Familiar 8,,Shopping,Valencia,Una experiencia inolvidable para toda la familia.,visual,2025-06-05,gratis,
Evento Familiar 9,,Viajes,Barcelona,Diversión asegurada para grandes y pequeños.,motora,2025-08-28,desde 10 euros,
Evento Familiar 10,,Salud,Barcelona,Una experiencia inolvidable para toda la familia.,auditiva,2025-08-02,desde 10 euros,
Evento Familiar 11,,Viajes,Bilbao,Una experiencia inolvidable para toda la familia.,motora,2025-10-28,desde 10 euros,
Evento Familiar 12,,Ocio,Madrid,Actividad ideal para pasar el fin de semana con los niños.,ninguna,2025-11-17,por confirmar,
Evento Familiar 13,,Ocio,Madrid,Oportunidad perfecta para aprender y divertirse.,ninguna,2025-06-24,por confirmar,
Evento Familiar 14,,Ocio,Zaragoza,Plan perfecto para disfrutar del tiempo libre.,ninguna,2025-10-20,gratis,
Evento Familiar 15,,Shopping,Valencia,Plan perfecto para disfrutar del tiempo libre.,auditiva,2025-11-10,por confirmar,
Evento Familiar 16,,Estilo de vida,Zaragoza,Oportunidad perfecta para aprender y divertirse.,visual,2025-07-30,desde 20 euros,
Evento Familiar 17,,Ocio,Bilbao,Un plan divertido y educativo para disfrutar en familia.,visual,2025-09-23,desde 10 euros,
Evento Familiar 18,,Salud,Barcelona,Una experiencia inolvidable para toda la familia.,motora,2025-06-07,desde 20 euros,
Evento Familiar 19,,Viajes,Bilbao,Un plan divertido y educativo para disfrutar en familia.,auditiva,2025-07-30,desde 20 euros,
Evento Familiar 20,,Educación,Bilbao,Una experiencia inolvidable para toda la familia.,motora,2025-10-24,gratis,
Evento Familiar 21,,Ocio,Zaragoza,Plan perfecto para disfrutar del tiempo libre.,ninguna,2025-08-06,desde 5 euros,
Evento Familiar 22,,Estilo de vida,Madrid,Oportunidad perfecta para aprender y divertirse.,visual,2025-08-01,desde 20 euros,
Evento Familiar 23,,Viajes,Bilbao,Oportunidad perfecta para aprender y divertirse.,ninguna,2025-06-28,desde 10 euros,
Evento Familiar 24,,Ocio,Sevilla,Plan perfecto para disfrutar del tiempo libre.,motora,2025-06-18,gratis,
Evento Familiar 25,,Viajes,Zaragoza,Un plan divertido y educativo para disfrutar en familia.,ninguna,2025-09-28,gratis,
Evento Familiar 26,,Estilo de vida,Sevilla,Plan perfecto para disfrutar del tiempo libre.,visual,2025-11-06,desde 5 euros,
Evento Familiar 27,,Ocio,Sevilla,Una experiencia inolvidable para toda la familia.,ninguna,2025-07-19,por confirmar,
Evento Familiar 28,,Shopping,Valencia,Una experiencia inolvidable para toda la familia.,motora,2025-06-07,desde 10 euros,
Evento Familiar 29,,Ocio,Zaragoza,Una experiencia inolvidable para toda la familia.,motora,2025-08-18,desde 20 euros,
Evento Familiar 30,,Ocio,Madrid,Actividad ideal para pasar el fin de semana con los niños.,auditiva,2025-06-26,desde 20 euros,
Evento Familiar 31,,Salud,Madrid,Una experiencia inolvidable para toda la familia.,motora,2025-10-03,desde 20 euros,
Evento Familiar 32,,Estilo de vida,Bilbao,Plan perfecto para disfrutar del tiempo libre.,auditiva,2025-10-02,desde 5 euros,
Evento Familiar 33,,Ocio,Sevilla,Un plan divertido y educativo para disfrutar en familia.,visual,2025-11-11,desde 5 euros,
Evento Familiar 34,,Salud,Bilbao,Diversión asegurada para grandes y pequeños.,ninguna,2025-10-22,desde 5 euros,
Evento Familiar 35,,Educación,Sevilla,Plan perfecto para disfrutar del tiempo libre.,ninguna,2025-08-28,desde 5 euros,
Evento Familiar 36,,Salud,Bilbao,Una experiencia inolvidable para toda la familia.,visual,2025-07-22,por confirmar,
Evento Familiar 37,,Salud,Bilbao,Diversión asegurada para grandes y pequeños.,auditiva,2025-10-21,por confirmar,
Evento Familiar 38,,Estilo de vida,Barcelona,Oportunidad perfecta para aprender y divertirse.,visual,2025-11-22,por confirmar,
Evento Familiar 39,,Viajes,Bilbao,Plan perfecto para disfrutar del tiempo libre.,ninguna,2025-09-18,gratis,
Evento Familiar 40,,Shopping,Zaragoza,Diversión asegurada para grandes y pequeños.,motora,2025-10-01,gratis,
Evento Familiar 41,,Viajes,Valencia,Una experiencia inolvidable para toda la familia.,ninguna,2025-10-23,desde 10 euros,
Evento Familiar 42,,Salud,Sevilla,Un plan divertido y educativo para disfrutar en familia.,auditiva,2025-09-18,desde 20 euros,
Evento Familiar 43,,Educación,Zaragoza,Un plan divertido y educativo para disfrutar en familia.,ninguna,2025-06-26,gratis,
Evento Familiar 44,,Estilo de vida,Valencia,Diversión asegurada para grandes y pequeños.,auditiva,2025-11-25,gratis,
Evento Familiar 45,,Viajes,Madrid,Actividad ideal para pasar el fin de semana con los niños.,motora,2025-08-16,gratis,
Evento Familiar 46,,Salud,Sevilla,Una experiencia inolvidable para toda la familia.,auditiva,2025-10-05,desde 20 euros,
Evento Familiar 47,,Viajes,Madrid,Una experiencia inolvidable para toda la familia.,visual,2025-08-29,por confirmar,
Evento Familiar 48,,Estilo de vida,Valencia,Actividad ideal para pasar el fin de semana con los niños.,ninguna,2025-07-19,desde 5 euros,
Evento Familiar 49,,Educación,Zaragoza,Un plan divertido y educativo para disfrutar en familia.,visual,2025-09-24,desde 10 euros,
Evento Familiar 50,,Estilo de vida,Sevilla,Un plan divertido y educativo para disfrutar en familia.,visual,2025-11-18,desde 5 euros,
Evento Familiar 51,,Viajes,Madrid,Una experiencia inolvidable para toda la familia.,auditiva,2025-09-22,desde 20 euros,
Evento Familiar 52,,Estilo de vida,Zaragoza,Un plan divertido y educativo para disfrutar en familia.,motora,2025-11-04,por confirmar,
Evento Familiar 53,,Educación,Madrid,Diversión asegurada para grandes y pequeños.,visual,2025-10-01,gratis,
Evento Familiar 54,,Salud,Valencia,Plan perfecto para disfrutar del tiempo libre.,ninguna,2025-09-25,desde 20 euros,
Evento Familiar 55,,Estilo de vida,Bilbao,Diversión asegurada para grandes y pequeños.,ninguna,2025-11-13,desde 20 euros,
Evento Familiar 56,,Educación,Barcelona,Actividad ideal para pasar el fin de semana con los niños.,motora,2025-07-09,desde 10 euros,
Evento Familiar 57,,Educación,Bilbao,Plan perfecto para disfrutar del tiempo libre.,visual,2025-08-06,por confirmar,
Evento Familiar 58,,Educación,Zaragoza,Actividad ideal para pasar el fin de semana con los niños.,visual,2025-09-14,por confirmar,
Evento Familiar 59,,Educación,Madrid,Un plan divertido y educativo para disfrutar en familia.,motora,2025-06-19,por confirmar,
Evento Familiar 60,,Ocio,Bilbao,Una experiencia inolvidable para toda la familia.,motora,2025-07-29,por confirmar,
Evento Familiar 61,,Educación,Barcelona,Actividad ideal para pasar el fin de semana con los niños.,motora,2025-08-02,desde 5 euros,
Evento Familiar 62,,Viajes,Valencia,Un plan divertido y educativo para disfrutar en familia.,visual,2025-08-03,desde 20 euros,
Evento Familiar 63,,Estilo de vida,Sevilla,Diversión asegurada para grandes y pequeños.,ninguna,2025-09-22,desde 10 euros,
Evento Familiar 64,,Shopping,Bilbao,Diversión asegurada para grandes y pequeños.,ninguna,2025-11-17,gratis,
Evento Familiar 65,,Viajes,Zaragoza,Diversión asegurada para grandes y pequeños.,ninguna,2025-11-02,desde 5 euros,
Evento Familiar 66,,Estilo de vida,Zaragoza,Diversión asegurada para grandes y pequeños.,visual,2025-11-24,desde 10 euros,
Evento Familiar 67,,Ocio,Madrid,Plan perfecto para disfrutar del tiempo libre.,ninguna,2025-08-31,desde 10 euros,
Evento Familiar 68,,Estilo de vida,Bilbao,Un plan divertido y educativo para disfrutar en familia.,ninguna,2025-06-02,desde 20 euros,
Evento Familiar 69,,Viajes,Zaragoza,Una experiencia inolvidable para toda la familia.,ninguna,2025-07-14,desde 5 euros,
Evento Familiar 70,,Shopping,Sevilla,Actividad ideal para pasar el fin de semana con los niños.,auditiva,2025-07-20,desde 20 euros,
Evento Familiar 71,,Salud,Bilbao,Una experiencia inolvidable para toda la familia.,auditiva,2025-11-11,desde 5 euros,
Evento Familiar 72,,Estilo de vida,Bilbao,Diversión asegurada para grandes y pequeños.,motora,2025-10-21,desde 5 euros,
Evento Familiar 73,,Shopping,Bilbao,Plan perfecto para disfrutar del tiempo libre.,motora,2025-10-24,gratis,
Evento Familiar 74,,Ocio,Zaragoza,Plan perfecto para disfrutar del tiempo libre.,ninguna,2025-06-07,desde 10 euros,
Evento Familiar 75,,Shopping,Barcelona,Un plan divertido y educativo para disfrutar en familia.,auditiva,2025-11-12,desde 10 euros,
Evento Familiar 76,,Estilo de vida,Barcelona,Una experiencia inolvidable para toda la familia.,motora,2025-11-19,desde 20 euros,
Evento Familiar 77,,Estilo de vida,Zaragoza,Oportunidad perfecta para aprender y divertirse.,motora,2025-09-11,por confirmar,
Evento Familiar 78,,Estilo de vida,Bilbao,Actividad ideal para pasar el fin de semana con los niños.,auditiva,2025-09-25,por confirmar,
Evento Familiar 79,,Viajes,Barcelona,Oportunidad perfecta para aprender y divertirse.,visual,2025-08-24,desde 10 euros,
Evento Familiar 80,,Educación,Madrid,Oportunidad perfecta para aprender y divertirse.,auditiva,2025-08-26,gratis,
Evento Familiar 81,,Ocio,Madrid,Una experiencia inolvidable para toda la familia.,ninguna,2025-06-05,por confirmar,
Evento Familiar 82,,Salud,Valencia,Oportunidad perfecta para aprender y divertirse.,visual,2025-10-24,desde 20 euros,
Evento Familiar 83,,Ocio,Barcelona,Diversión asegurada para grandes y pequeños.,auditiva,2025-10-14,desde 20 euros,
Evento Familiar 84,,Viajes,Bilbao,Actividad ideal para pasar el fin de semana con los niños.,auditiva,2025-06-27,desde 20 euros,
Evento Familiar 85,,Educación,Sevilla,Un plan divertido y educativo para disfrutar en familia.,motora,2025-07-27,desde 5 euros,
Evento Familiar 86,,Estilo de vida,Zaragoza,Un plan divertido y educativo para disfrutar en familia.,visual,2025-06-29,gratis,
Evento Familiar 87,,Salud,Barcelona,Diversión asegurada para grandes y pequeños.,auditiva,2025-09-03,por confirmar,
Evento Familiar 88,,Estilo de vida,Madrid,Una experiencia inolvidable para toda la familia.,visual,2025-11-03,desde 5 euros,
Evento Familiar 89,,Shopping,Zaragoza,Un plan divertido y educativo para disfrutar en familia.,visual,2025-06-03,desde 20 euros,
Evento Familiar 90,,Educación,Bilbao,Plan perfecto para disfrutar del tiempo libre.,auditiva,2025-06-23,desde 20 euros,
Evento Familiar 91,,Educación,Madrid,Oportunidad perfecta para aprender y divertirse.,ninguna,2025-09-18,desde 5 euros,
Evento Familiar 92,,Estilo de vida,Bilbao,Una experiencia inolvidable para toda la familia.,auditiva,2025-07-03,desde 10 euros,
Evento Familiar 93,,Salud,Barcelona,Plan perfecto para disfrutar del tiempo libre.,auditiva,2025-06-04,desde 20 euros,
Evento Familiar 94,,Viajes,Zaragoza,Diversión asegurada para grandes y pequeños.,motora,2025-07-16,gratis,
Evento Familiar 95,,Viajes,Madrid,Un plan divertido y educativo para disfrutar en familia.,auditiva,2025-07-06,desde 5 euros,
Evento Familiar 96,,Educación,Barcelona,Una experiencia inolvidable para toda la familia.,ninguna,2025-09-25,desde 10 euros,
Evento Familiar 97,,Shopping,Madrid,Actividad ideal para pasar el fin de semana con los niños.,motora,2025-08-04,desde 10 euros,
Evento Familiar 98,,Educación,Barcelona,Plan perfecto para disfrutar del tiempo libre.,visual,2025-09-28,desde 10 euros,
Evento Familiar 99,,Estilo de vida,Barcelona,Una experiencia inolvidable para toda la familia.,visual,2025-07-27,desde 10 euros,
Evento Familiar 100,,Educación,Barcelona,Actividad ideal para pasar el fin de semana con los niños.,visual,2025-06-27,desde 5 euros,
Evento Familiar 101,,Educación,Zaragoza,Diversión asegurada para grandes y pequeños.,ninguna,2025-11-25,por confirmar,
Evento Familiar 102,,Viajes,Madrid,Oportunidad perfecta para aprender y divertirse.,visual,2025-07-03,desde 20 euros,
Evento Familiar 103,,Estilo de vida,Bilbao,Plan perfecto para disfrutar del tiempo libre.,auditiva,2025-06-29,por confirmar,
Evento Familiar 104,,Estilo de vida,Sevilla,Una experiencia inolvidable para toda la familia.,motora,2025-06-29,desde 10 euros,
Evento Familiar 105,,Viajes,Bilbao,Diversión asegurada para grandes y pequeños.,auditiva,2025-10-09,desde 5 euros,
Evento Familiar 106,,Ocio,Bilbao,Una experiencia inolvidable para toda la familia.,ninguna,2025-10-31,desde 20 euros,
Evento Familiar 107,,Estilo de vida,Bilbao,Actividad ideal para pasar el fin de semana con los niños.,visual,2025-06-24,por confirmar,
Evento Familiar 108,,Ocio,Barcelona,Plan perfecto para disfrutar del tiempo libre.,motora,2025-10-13,desde 10 euros,
Evento Familiar 109,,Educación,Madrid,Diversión asegurada para grandes y pequeños.,visual,2025-10-21,por confirmar,
