nombre_evento,ciudad,fecha,categoria,necesidad_especial,precio,descripcion
Biblioteca Eugenio Trías actividades infantiles,Madrid,2025-03-27 00:00:00,Ocio,visual,Desde 30€,Disfruta de un festival familiar en Biblioteca Eugenio Trías actividades infantiles en Madrid el 27 de March de 2025.
Feria del Caballo Jerez,Cádiz,2025-03-19 00:00:00,Ocio,auditiva,Por confirmar,Disfruta de un espectáculo familiar en Feria del Caballo Jerez en Cádiz el 19 de March de 2025.
Festival Pirineos Sur,Madrid,2025-05-05 00:00:00,Educación,ninguna,Desde 10€,Disfruta de un exposición familiar en Festival Pirineos Sur en Madrid el 5 de May de 2025.
Museo de Cera de Madrid,Madrid,2025-04-03 00:00:00,Educación,ninguna,Desde 30€,Disfruta de un museo familiar en Museo de Cera de Madrid en Madrid el 3 de April de 2025.
CosmoCaixa Barcelona,Barcelona,2025-09-24 00:00:00,Ocio,visual,Desde 30€,Disfruta de un literatura familiar en CosmoCaixa Barcelona en Barcelona el 24 de September de 2025.
Atlantis Aquarium Madrid,Madrid,2025-06-21 00:00:00,Educación,ninguna,Desde 10€,Disfruta de un museo familiar en Atlantis Aquarium Madrid en Madrid el 21 de June de 2025.
Parque de Aventuras Amazonia,Madrid,2025-05-20 00:00:00,Ocio,auditiva,Desde 5€,Disfruta de un concierto familiar en Parque de Aventuras Amazonia en Madrid el 20 de May de 2025.
Oceanogràfic Valencia,Valencia,2025-06-05 00:00:00,Educación,visual,Gratis,Disfruta de un exposición familiar en Oceanogràfic Valencia en Valencia el 5 de June de 2025.
Pueblo Español de Barcelona,Barcelona,2025-08-23 00:00:00,Educación,auditiva,Desde 10€,Disfruta de un museo familiar en Pueblo Español de Barcelona en Barcelona el 23 de August de 2025.
Biblioteca Eugenio Trías actividades infantiles,Madrid,2025-12-07 00:00:00,Ocio,visual,Desde 5€,Disfruta de un parque temático familiar en Biblioteca Eugenio Trías actividades infantiles en Madrid el 7 de December de 2025.
Museo del Prado actividades familiares,Bizkaia,2025-04-06 00:00:00,Educación,ninguna,Gratis,Disfruta de un museo familiar en Museo del Prado actividades familiares en Bizkaia el 6 de April de 2025.
Parque de Aventuras Amazonia,Madrid,2025-11-10 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un literatura familiar en Parque de Aventuras Amazonia en Madrid el 10 de November de 2025.
CosmoCaixa Barcelona,Barcelona,2025-08-17 00:00:00,Ocio,auditiva,Desde 10€,Disfruta de un concierto familiar en CosmoCaixa Barcelona en Barcelona el 17 de August de 2025.
Museo del Prado actividades familiares,Bizkaia,2025-11-09 00:00:00,Educación,ninguna,Por confirmar,Disfruta de un museo familiar en Museo del Prado actividades familiares en Bizkaia el 9 de November de 2025.
Museo del Prado actividades familiares,Bizkaia,2025-09-28 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un literatura familiar en Museo del Prado actividades familiares en Bizkaia el 28 de September de 2025.
Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-11-04 00:00:00,Ocio,auditiva,Gratis,Disfruta de un espectáculo familiar en Parque de la Naturaleza de Cabárceno Cantabria en Cantabria el 4 de November de 2025.
CaixaForum Barcelona,Barcelona,2025-10-22 00:00:00,Educación,visual,Por confirmar,Disfruta de un exposición familiar en CaixaForum Barcelona en Barcelona el 22 de October de 2025.
Atlantis Aquarium Madrid,Madrid,2025-08-12 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un festival familiar en Atlantis Aquarium Madrid en Madrid el 12 de August de 2025.
Parque de Aventuras Amazonia,Madrid,2025-09-20 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un exposición familiar en Parque de Aventuras Amazonia en Madrid el 20 de September de 2025.
Museo del Prado actividades familiares,Bizkaia,2025-10-23 00:00:00,Educación,visual,Desde 5€,Disfruta de un museo familiar en Museo del Prado actividades familiares en Bizkaia el 23 de October de 2025.
Festival Pirineos Sur,Madrid,2025-06-29 00:00:00,Ocio,ninguna,Gratis,Disfruta de un literatura familiar en Festival Pirineos Sur en Madrid el 29 de June de 2025.
Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-10-15 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un festival familiar en Parque de la Naturaleza de Cabárceno Cantabria en Cantabria el 15 de October de 2025.
Pinocho en el Circo - Teatro San Pol,Barcelona,2025-06-03 00:00:00,Ocio,ninguna,Gratis,Disfruta de un parque temático familiar en Pinocho en el Circo - Teatro San Pol en Barcelona el 3 de June de 2025.
Museo del Prado actividades familiares,Bizkaia,2025-10-16 00:00:00,Ocio,visual,Desde 30€,Disfruta de un concierto familiar en Museo del Prado actividades familiares en Bizkaia el 16 de October de 2025.
L'Aquàrium Barcelona,Barcelona,2025-07-26 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un festival familiar en L'Aquàrium Barcelona en Barcelona el 26 de July de 2025.
Feria del Caballo Jerez,Cádiz,2025-11-10 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un parque temático familiar en Feria del Caballo Jerez en Cádiz el 10 de November de 2025.
Festival de Magia - Parque de Atracciones,Madrid,2025-02-04 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un festival familiar en Festival de Magia - Parque de Atracciones en Madrid el 4 de February de 2025.
Museo Naval de Madrid,Madrid,2025-03-12 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un literatura familiar en Museo Naval de Madrid en Madrid el 12 de March de 2025.
CosmoCaixa Barcelona,Barcelona,2025-09-17 00:00:00,Educación,auditiva,Gratis,Disfruta de un exposición familiar en CosmoCaixa Barcelona en Barcelona el 17 de September de 2025.
Concierto Aitana Estadio Metropolitano,Madrid,2025-10-06 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un concierto familiar en Concierto Aitana Estadio Metropolitano en Madrid el 6 de October de 2025.
Museo del Prado actividades familiares,Bizkaia,2025-11-18 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un parque temático familiar en Museo del Prado actividades familiares en Bizkaia el 18 de November de 2025.
Museo de la Felicidad Madrid,Madrid,2025-11-20 00:00:00,Ocio,auditiva,Desde 5€,Disfruta de un parque temático familiar en Museo de la Felicidad Madrid en Madrid el 20 de November de 2025.
Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-06-01 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un concierto familiar en Parque de la Naturaleza de Cabárceno Cantabria en Cantabria el 1 de June de 2025.
Museo de Cera de Madrid,Madrid,2025-05-15 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un concierto familiar en Museo de Cera de Madrid en Madrid el 15 de May de 2025.
PortAventura World,Madrid,2025-09-17 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un concierto familiar en PortAventura World en Madrid el 17 de September de 2025.
Festival Tomavistas Madrid,Madrid,2025-10-25 00:00:00,Ocio,auditiva,Desde 10€,Disfruta de un parque temático familiar en Festival Tomavistas Madrid en Madrid el 25 de October de 2025.
Zoo Aquarium de Madrid,Madrid,2025-08-21 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un festival familiar en Zoo Aquarium de Madrid en Madrid el 21 de August de 2025.
L'Aquàrium Barcelona,Barcelona,2025-08-05 00:00:00,Educación,ninguna,Desde 5€,Disfruta de un exposición familiar en L'Aquàrium Barcelona en Barcelona el 5 de August de 2025.
Festival de los Sentidos Albacete,Albacete,2025-05-13 00:00:00,Educación,ninguna,Desde 10€,Disfruta de un museo familiar en Festival de los Sentidos Albacete en Albacete el 13 de May de 2025.
Oceanogràfic Valencia,Valencia,2025-08-11 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un parque temático familiar en Oceanogràfic Valencia en Valencia el 11 de August de 2025.
Museo del Mar de Galicia,A Coruña,2025-12-04 00:00:00,Ocio,ninguna,Gratis,Disfruta de un literatura familiar en Museo del Mar de Galicia en A Coruña el 4 de December de 2025.
Museo Nacional de Ciencias Naturales,Madrid,2025-11-05 00:00:00,Ocio,ninguna,Gratis,Disfruta de un festival familiar en Museo Nacional de Ciencias Naturales en Madrid el 5 de November de 2025.
Parque Faunia Madrid,Madrid,2025-11-16 00:00:00,Ocio,ninguna,Gratis,Disfruta de un festival familiar en Parque Faunia Madrid en Madrid el 16 de November de 2025.
Museo del Ferrocarril de Madrid,Madrid,2025-10-02 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un literatura familiar en Museo del Ferrocarril de Madrid en Madrid el 2 de October de 2025.
Museo del Ferrocarril de Madrid,Madrid,2025-10-29 00:00:00,Educación,ninguna,Desde 30€,Disfruta de un exposición familiar en Museo del Ferrocarril de Madrid en Madrid el 29 de October de 2025.
Isla Mágica Sevilla,Sevilla,2025-01-08 00:00:00,Educación,ninguna,Desde 10€,Disfruta de un museo familiar en Isla Mágica Sevilla en Sevilla el 8 de January de 2025.
Bioparc Valencia,Valencia,2025-02-18 00:00:00,Ocio,auditiva,Por confirmar,Disfruta de un festival familiar en Bioparc Valencia en Valencia el 18 de February de 2025.
Oceanogràfic Valencia,Valencia,2025-07-26 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un festival familiar en Oceanogràfic Valencia en Valencia el 26 de July de 2025.
Oceanogràfic Valencia,Valencia,2025-10-25 00:00:00,Ocio,ninguna,Gratis,Disfruta de un concierto familiar en Oceanogràfic Valencia en Valencia el 25 de October de 2025.
Festival de Magia - Parque de Atracciones,Madrid,2025-01-01 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un parque temático familiar en Festival de Magia - Parque de Atracciones en Madrid el 1 de January de 2025.
Festival Emérita Lúdica Mérida,Badajoz,2025-05-30 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un parque temático familiar en Festival Emérita Lúdica Mérida en Badajoz el 30 de May de 2025.
Parque Gulliver Valencia,Valencia,2025-11-12 00:00:00,Ocio,ninguna,Gratis,Disfruta de un concierto familiar en Parque Gulliver Valencia en Valencia el 12 de November de 2025.
Museo de la Felicidad Madrid,Madrid,2025-02-10 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un parque temático familiar en Museo de la Felicidad Madrid en Madrid el 10 de February de 2025.
Museo del Ferrocarril de Madrid,Madrid,2025-03-30 00:00:00,Ocio,visual,Por confirmar,Disfruta de un parque temático familiar en Museo del Ferrocarril de Madrid en Madrid el 30 de March de 2025.
Parque Warner Madrid,Madrid,2025-10-31 00:00:00,Ocio,ninguna,Gratis,Disfruta de un espectáculo familiar en Parque Warner Madrid en Madrid el 31 de October de 2025.
Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-02-17 00:00:00,Educación,ninguna,Desde 10€,Disfruta de un exposición familiar en Parque de la Naturaleza de Cabárceno Cantabria en Cantabria el 17 de February de 2025.
Pinocho en el Circo - Teatro San Pol,Barcelona,2025-04-27 00:00:00,Ocio,auditiva,Gratis,Disfruta de un parque temático familiar en Pinocho en el Circo - Teatro San Pol en Barcelona el 27 de April de 2025.
Museo Naval de Madrid,Madrid,2025-12-19 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un concierto familiar en Museo Naval de Madrid en Madrid el 19 de December de 2025.
Museo Interactivo de la Música Málaga,Málaga,2025-03-23 00:00:00,Ocio,visual,Desde 20€,Disfruta de un espectáculo familiar en Museo Interactivo de la Música Málaga en Málaga el 23 de March de 2025.
Parque de Aventuras Amazonia,Madrid,2025-10-26 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un parque temático familiar en Parque de Aventuras Amazonia en Madrid el 26 de October de 2025.
Festival Tomavistas Madrid,Madrid,2025-03-21 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un espectáculo familiar en Festival Tomavistas Madrid en Madrid el 21 de March de 2025.
Pinocho en el Circo - Teatro San Pol,Barcelona,2025-12-04 00:00:00,Ocio,auditiva,Por confirmar,Disfruta de un literatura familiar en Pinocho en el Circo - Teatro San Pol en Barcelona el 4 de December de 2025.
Dinópolis Teruel,Teruel,2025-10-27 00:00:00,Ocio,visual,Por confirmar,Disfruta de un parque temático familiar en Dinópolis Teruel en Teruel el 27 de October de 2025.
Festival de los Sentidos Albacete,Albacete,2025-09-26 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un parque temático familiar en Festival de los Sentidos Albacete en Albacete el 26 de September de 2025.
Museo Naval de Madrid,Madrid,2025-05-23 00:00:00,Ocio,auditiva,Desde 20€,Disfruta de un espectáculo familiar en Museo Naval de Madrid en Madrid el 23 de May de 2025.
Parque Warner Madrid,Madrid,2025-01-13 00:00:00,Ocio,auditiva,Desde 10€,Disfruta de un espectáculo familiar en Parque Warner Madrid en Madrid el 13 de January de 2025.
Familyland Tres Cantos,Madrid,2025-06-01 00:00:00,Ocio,auditiva,Desde 20€,Disfruta de un parque temático familiar en Familyland Tres Cantos en Madrid el 1 de June de 2025.
Festival Pirineos Sur,Madrid,2025-02-09 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un literatura familiar en Festival Pirineos Sur en Madrid el 9 de February de 2025.
Isla Mágica Sevilla,Sevilla,2025-01-30 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un exposición familiar en Isla Mágica Sevilla en Sevilla el 30 de January de 2025.
Museo Interactivo de la Música Málaga,Málaga,2025-05-12 00:00:00,Ocio,auditiva,Por confirmar,Disfruta de un literatura familiar en Museo Interactivo de la Música Málaga en Málaga el 12 de May de 2025.
Acuario de Gijón,Asturias,2025-10-19 00:00:00,Ocio,auditiva,Desde 20€,Disfruta de un concierto familiar en Acuario de Gijón en Asturias el 19 de October de 2025.
L'Aquàrium Barcelona,Barcelona,2025-05-09 00:00:00,Ocio,visual,Desde 30€,Disfruta de un festival familiar en L'Aquàrium Barcelona en Barcelona el 9 de May de 2025.
Festival Pirineos Sur,Madrid,2025-12-21 00:00:00,Ocio,auditiva,Desde 30€,Disfruta de un espectáculo familiar en Festival Pirineos Sur en Madrid el 21 de December de 2025.
Museo de la Ciencia Valladolid,Valladolid,2025-05-26 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un exposición familiar en Museo de la Ciencia Valladolid en Valladolid el 26 de May de 2025.
Festival Emérita Lúdica Mérida,Badajoz,2025-07-08 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un festival familiar en Festival Emérita Lúdica Mérida en Badajoz el 8 de July de 2025.
Museo del Ferrocarril de Madrid,Madrid,2025-08-14 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un parque temático familiar en Museo del Ferrocarril de Madrid en Madrid el 14 de August de 2025.
Museo de las Ilusiones Madrid,Madrid,2025-11-11 00:00:00,Ocio,visual,Por confirmar,Disfruta de un literatura familiar en Museo de las Ilusiones Madrid en Madrid el 11 de November de 2025.
Museo Nacional de Ciencias Naturales,Madrid,2025-06-22 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un concierto familiar en Museo Nacional de Ciencias Naturales en Madrid el 22 de June de 2025.
Jurassic World Experience Madrid,Madrid,2025-08-10 00:00:00,Ocio,auditiva,Desde 20€,Disfruta de un parque temático familiar en Jurassic World Experience Madrid en Madrid el 10 de August de 2025.
Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-06-10 00:00:00,Ocio,visual,Desde 5€,Disfruta de un espectáculo familiar en Parque de la Naturaleza de Cabárceno Cantabria en Cantabria el 10 de June de 2025.
Museo Naval de Madrid,Madrid,2025-01-11 00:00:00,Ocio,ninguna,Gratis,Disfruta de un concierto familiar en Museo Naval de Madrid en Madrid el 11 de January de 2025.
Festival de Magia - Parque de Atracciones,Madrid,2025-03-12 00:00:00,Ocio,visual,Por confirmar,Disfruta de un parque temático familiar en Festival de Magia - Parque de Atracciones en Madrid el 12 de March de 2025.
Parque Gulliver Valencia,Valencia,2025-06-06 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un festival familiar en Parque Gulliver Valencia en Valencia el 6 de June de 2025.
Festival de Magia - Parque de Atracciones,Madrid,2025-02-21 00:00:00,Ocio,visual,Por confirmar,Disfruta de un parque temático familiar en Festival de Magia - Parque de Atracciones en Madrid el 21 de February de 2025.
Harpia Balaguer Medieval Lleida,Lleida,2025-08-06 00:00:00,Ocio,auditiva,Desde 30€,Disfruta de un parque temático familiar en Harpia Balaguer Medieval Lleida en Lleida el 6 de August de 2025.
Concierto Aitana Estadio Metropolitano,Madrid,2025-02-05 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un parque temático familiar en Concierto Aitana Estadio Metropolitano en Madrid el 5 de February de 2025.
Feria Medieval Ibiza,Illes Balears,2025-04-30 00:00:00,Educación,ninguna,Por confirmar,Disfruta de un museo familiar en Feria Medieval Ibiza en Illes Balears el 30 de April de 2025.
PortAventura World,Madrid,2025-08-06 00:00:00,Ocio,auditiva,Gratis,Disfruta de un espectáculo familiar en PortAventura World en Madrid el 6 de August de 2025.
CosmoCaixa Barcelona,Barcelona,2025-04-20 00:00:00,Ocio,visual,Desde 5€,Disfruta de un parque temático familiar en CosmoCaixa Barcelona en Barcelona el 20 de April de 2025.
Festival Tomavistas Madrid,Madrid,2025-11-02 00:00:00,Ocio,auditiva,Gratis,Disfruta de un espectáculo familiar en Festival Tomavistas Madrid en Madrid el 2 de November de 2025.
Feria del Caballo Jerez,Cádiz,2025-07-14 00:00:00,Ocio,visual,Gratis,Disfruta de un concierto familiar en Feria del Caballo Jerez en Cádiz el 14 de July de 2025.
Isla Mágica Sevilla,Sevilla,2025-01-28 00:00:00,Educación,ninguna,Desde 30€,Disfruta de un museo familiar en Isla Mágica Sevilla en Sevilla el 28 de January de 2025.
Atlantis Aquarium Madrid,Madrid,2025-05-18 00:00:00,Educación,ninguna,Desde 30€,Disfruta de un museo familiar en Atlantis Aquarium Madrid en Madrid el 18 de May de 2025.
Zoo Aquarium de Madrid,Madrid,2025-05-04 00:00:00,Educación,visual,Desde 10€,Disfruta de un exposición familiar en Zoo Aquarium de Madrid en Madrid el 4 de May de 2025.
L'Aquàrium Barcelona,Barcelona,2025-01-08 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un concierto familiar en L'Aquàrium Barcelona en Barcelona el 8 de January de 2025.
Pueblo Español de Barcelona,Barcelona,2025-09-10 00:00:00,Ocio,auditiva,Gratis,Disfruta de un festival familiar en Pueblo Español de Barcelona en Barcelona el 10 de September de 2025.
Museo de Cera de Madrid,Madrid,2025-05-11 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un parque temático familiar en Museo de Cera de Madrid en Madrid el 11 de May de 2025.
Museo Interactivo de la Música Málaga,Málaga,2025-02-05 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un museo familiar en Museo Interactivo de la Música Málaga en Málaga el 5 de February de 2025.
Oceanogràfic Valencia,Valencia,2025-08-17 00:00:00,Ocio,ninguna,Gratis,Disfruta de un espectáculo familiar en Oceanogràfic Valencia en Valencia el 17 de August de 2025.
Festival de Magia - Parque de Atracciones,Madrid,2025-12-29 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un festival familiar en Festival de Magia - Parque de Atracciones en Madrid el 29 de December de 2025.
Ciudad de las Artes y las Ciencias Valencia,Valencia,2025-05-13 00:00:00,Ocio,auditiva,Desde 30€,Disfruta de un concierto familiar en Ciudad de las Artes y las Ciencias Valencia en Valencia el 13 de May de 2025.
Familyland Tres Cantos,Madrid,2025-06-25 00:00:00,Educación,ninguna,Desde 10€,Disfruta de un museo familiar en Familyland Tres Cantos en Madrid el 25 de June de 2025.
Harpia Balaguer Medieval Lleida,Lleida,2025-03-30 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un espectáculo familiar en Harpia Balaguer Medieval Lleida en Lleida el 30 de March de 2025.
Biblioteca Eugenio Trías actividades infantiles,Madrid,2025-07-03 00:00:00,Educación,auditiva,Desde 20€,Disfruta de un museo familiar en Biblioteca Eugenio Trías actividades infantiles en Madrid el 3 de July de 2025.
CaixaForum Barcelona,Barcelona,2025-02-08 00:00:00,Ocio,visual,Desde 20€,Disfruta de un festival familiar en CaixaForum Barcelona en Barcelona el 8 de February de 2025.
CaixaForum Madrid,Madrid,2025-02-02 00:00:00,Ocio,auditiva,Desde 5€,Disfruta de un festival familiar en CaixaForum Madrid en Madrid el 2 de February de 2025.
CosmoCaixa Barcelona,Barcelona,2025-05-16 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un concierto familiar en CosmoCaixa Barcelona en Barcelona el 16 de May de 2025.
Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-01-09 00:00:00,Ocio,auditiva,Desde 20€,Disfruta de un festival familiar en Parque de la Naturaleza de Cabárceno Cantabria en Cantabria el 9 de January de 2025.
PortAventura World,Madrid,2025-09-14 00:00:00,Ocio,auditiva,Desde 10€,Disfruta de un espectáculo familiar en PortAventura World en Madrid el 14 de September de 2025.
Museo Interactivo de la Música Málaga,Málaga,2025-01-07 00:00:00,Educación,ninguna,Gratis,Disfruta de un exposición familiar en Museo Interactivo de la Música Málaga en Málaga el 7 de January de 2025.
Museo del Mar de Galicia,A Coruña,2025-09-25 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un concierto familiar en Museo del Mar de Galicia en A Coruña el 25 de September de 2025.
CaixaForum Barcelona,Barcelona,2025-03-16 00:00:00,Educación,auditiva,Por confirmar,Disfruta de un exposición familiar en CaixaForum Barcelona en Barcelona el 16 de March de 2025.
Festival Pirineos Sur,Madrid,2025-12-05 00:00:00,Ocio,visual,Por confirmar,Disfruta de un espectáculo familiar en Festival Pirineos Sur en Madrid el 5 de December de 2025.
Harpia Balaguer Medieval Lleida,Lleida,2025-07-22 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un exposición familiar en Harpia Balaguer Medieval Lleida en Lleida el 22 de July de 2025.
Museo de la Felicidad Madrid,Madrid,2025-08-26 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un exposición familiar en Museo de la Felicidad Madrid en Madrid el 26 de August de 2025.
Pinocho en el Circo - Teatro San Pol,Barcelona,2025-06-19 00:00:00,Ocio,auditiva,Desde 10€,Disfruta de un literatura familiar en Pinocho en el Circo - Teatro San Pol en Barcelona el 19 de June de 2025.
Feria del Caballo Jerez,Cádiz,2025-02-25 00:00:00,Ocio,auditiva,Desde 30€,Disfruta de un literatura familiar en Feria del Caballo Jerez en Cádiz el 25 de February de 2025.
Karting Ángel Burgueño Madrid,Madrid,2025-05-04 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un festival familiar en Karting Ángel Burgueño Madrid en Madrid el 4 de May de 2025.
Museo de la Ciencia Valladolid,Valladolid,2025-03-17 00:00:00,Ocio,visual,Por confirmar,Disfruta de un literatura familiar en Museo de la Ciencia Valladolid en Valladolid el 17 de March de 2025.
Concierto Aitana Estadio Metropolitano,Madrid,2025-11-19 00:00:00,Ocio,ninguna,Gratis,Disfruta de un concierto familiar en Concierto Aitana Estadio Metropolitano en Madrid el 19 de November de 2025.
Feria del Caballo Jerez,Cádiz,2025-09-15 00:00:00,Ocio,ninguna,Gratis,Disfruta de un literatura familiar en Feria del Caballo Jerez en Cádiz el 15 de September de 2025.
Karting Ángel Burgueño Madrid,Madrid,2025-05-21 00:00:00,Educación,ninguna,Por confirmar,Disfruta de un museo familiar en Karting Ángel Burgueño Madrid en Madrid el 21 de May de 2025.
Festival Tomavistas Madrid,Madrid,2025-09-29 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un literatura familiar en Festival Tomavistas Madrid en Madrid el 29 de September de 2025.
Ciudad de las Artes y las Ciencias Valencia,Valencia,2025-07-15 00:00:00,Educación,visual,Gratis,Disfruta de un exposición familiar en Ciudad de las Artes y las Ciencias Valencia en Valencia el 15 de July de 2025.
