id_evento,nombre_evento,tipo_actividad,descripcion,ubicacion,fecha,categoria,necesidad_especial,integrantes,edad_minima,modalidad,precio,link
39,Parque de Aventuras Amazonia,museo,Disfruta de un literatura familiar en Parque de Aventuras Amazonia en Madrid el 10 de November de 2025.,Madrid,2025-11-10 00:00:00,Literatura,Ninguna,1,0,Al aire libre,Desde 5€,https://www.parqueaventuraamazonia.com/
40,CosmoCaixa Barcelona,parque de atracciones,Disfruta de un concierto familiar en CosmoCaixa Barcelona en Barcelona el 17 de August de 2025.,Barcelona,2025-08-17 00:00:00,Concierto,Auditiva,3,8,Cubierto,Desde 10€,https://cosmocaixa.org/
41,Museo del Prado actividades familiares,zoologico,Disfruta de un museo familiar en Museo del Prado actividades familiares en Bizkaia el 9 de November de 2025.,Bizkaia,2025-11-09 00:00:00,Museo,Cognitiva,2,5,Al aire libre,Por confirmar,https://www.museodelprado.es/
42,Museo del Prado actividades familiares,festival,Disfruta de un literatura familiar en Museo del Prado actividades familiares en Bizkaia el 28 de September de 2025.,Bizkaia,2025-09-28 00:00:00,Literatura,Cognitiva,1,2,Cubierto,Desde 20€,https://www.museodelprado.es/
43,Parque de la Naturaleza de Cabárceno Cantabria,parque de atracciones,Disfruta de un espectáculo familiar en Parque de la Naturaleza de Cabárceno Cantabria en Cantabria el 4 de November de 2025.,Cantabria,2025-11-04 00:00:00,Espectáculo,Auditiva,4,0,Al aire libre,Gratis,https://parquedecabarceno.com/
44,CaixaForum Barcelona,parque de atracciones,Disfruta de un exposición familiar en CaixaForum Barcelona en Barcelona el 22 de October de 2025.,Barcelona,2025-10-22 00:00:00,Exposición,Visual,2,5,Al aire libre,Por confirmar,https://caixaforum.org/es/barcelona
45,Atlantis Aquarium Madrid,otro,Disfruta de un festival familiar en Atlantis Aquarium Madrid en Madrid el 12 de August de 2025.,Madrid,2025-08-12 00:00:00,Festival,Cognitiva,4,2,Cubierto,Desde 30€,https://www.atlantisaquarium-madrid.es/
46,Parque de Aventuras Amazonia,museo,Disfruta de un exposición familiar en Parque de Aventuras Amazonia en Madrid el 20 de September de 2025.,Madrid,2025-09-20 00:00:00,Exposición,Ninguna,1,8,Cubierto,Desde 20€,https://www.parqueaventuraamazonia.com/
47,Museo del Prado actividades familiares,otro,Disfruta de un museo familiar en Museo del Prado actividades familiares en Bizkaia el 23 de October de 2025.,Bizkaia,2025-10-23 00:00:00,Museo,Visual,1,2,Cubierto,Desde 5€,https://www.museodelprado.es/
48,Festival Pirineos Sur,otro,Disfruta de un literatura familiar en Festival Pirineos Sur en Madrid el 29 de June de 2025.,Madrid,2025-06-29 00:00:00,Literatura,Movilidad reducida,2,5,Cubierto,Gratis,https://pirineos-sur.es/
49,Parque de la Naturaleza de Cabárceno Cantabria,otro,Disfruta de un festival familiar en Parque de la Naturaleza de Cabárceno Cantabria en Cantabria el 15 de October de 2025.,Cantabria,2025-10-15 00:00:00,Festival,Ninguna,4,8,Al aire libre,Por confirmar,https://parquedecabarceno.com/
50,Pinocho en el Circo - Teatro San Pol,otro,Disfruta de un parque temático familiar en Pinocho en el Circo - Teatro San Pol en Barcelona el 3 de June de 2025.,Barcelona,2025-06-03 00:00:00,Parque Temático,Ninguna,3,2,Al aire libre,Gratis,https://teatrosanpol.com/
51,Museo del Prado actividades familiares,otro,Disfruta de un concierto familiar en Museo del Prado actividades familiares en Bizkaia el 16 de October de 2025.,Bizkaia,2025-10-16 00:00:00,Concierto,Visual,5,8,Al aire libre,Desde 30€,https://www.museodelprado.es/
52,L'Aquàrium Barcelona,escapada,Disfruta de un festival familiar en L'Aquàrium Barcelona en Barcelona el 26 de July de 2025.,Barcelona,2025-07-26 00:00:00,Festival,Ninguna,5,0,Cubierto,Desde 30€,https://www.aquariumbcn.com/
53,Feria del Caballo Jerez,escapada,Disfruta de un parque temático familiar en Feria del Caballo Jerez en Cádiz el 10 de November de 2025.,Cádiz,2025-11-10 00:00:00,Parque Temático,Movilidad reducida,3,8,Cubierto,Desde 20€,https://feriadelcaballojerez.com/
54,Festival de Magia - Parque de Atracciones,espectáculo infantil,Disfruta de un festival familiar en Festival de Magia - Parque de Atracciones en Madrid el 4 de February de 2025.,Madrid,2025-02-04 00:00:00,Festival,Cognitiva,4,0,Cubierto,Por confirmar,https://parquedeatracciones.es/eventos/festival-magia
55,Museo Naval de Madrid,,Disfruta de un literatura familiar en Museo Naval de Madrid en Madrid el 12 de March de 2025.,Madrid,2025-03-12 00:00:00,Literatura,Cognitiva,1,8,Cubierto,Por confirmar,https://www.armada.mde.es/MuseoNaval/
56,CosmoCaixa Barcelona,,Disfruta de un exposición familiar en CosmoCaixa Barcelona en Barcelona el 17 de September de 2025.,Barcelona,2025-09-17 00:00:00,Exposición,Auditiva,2,0,Cubierto,Gratis,https://cosmocaixa.org/
58,Concierto Aitana Estadio Metropolitano,,Disfruta de un concierto familiar en Concierto Aitana Estadio Metropolitano en Madrid el 6 de October de 2025.,Madrid,2025-10-06 00:00:00,Concierto,Movilidad reducida,4,0,Cubierto,Desde 10€,https://aitanamusic.es/
59,Museo del Prado actividades familiares,,Disfruta de un parque temático familiar en Museo del Prado actividades familiares en Bizkaia el 18 de November de 2025.,Bizkaia,2025-11-18 00:00:00,Parque Temático,Movilidad reducida,5,5,Cubierto,Por confirmar,https://www.museodelprado.es/
60,Museo de la Felicidad Madrid,,Disfruta de un parque temático familiar en Museo de la Felicidad Madrid en Madrid el 20 de November de 2025.,Madrid,2025-11-20 00:00:00,Parque Temático,Auditiva,3,5,Al aire libre,Desde 5€,https://www.museodelafelicidad.es/
61,Parque de la Naturaleza de Cabárceno Cantabria,,Disfruta de un concierto familiar en Parque de la Naturaleza de Cabárceno Cantabria en Cantabria el 1 de June de 2025.,Cantabria,2025-06-01 00:00:00,Concierto,Ninguna,4,5,Al aire libre,Desde 20€,https://parquedecabarceno.com/
62,Museo de Cera de Madrid,,Disfruta de un concierto familiar en Museo de Cera de Madrid en Madrid el 15 de May de 2025.,Madrid,2025-05-15 00:00:00,Concierto,Movilidad reducida,5,8,Cubierto,Desde 10€,https://www.museoceramadrid.com/
63,PortAventura World,,Disfruta de un concierto familiar en PortAventura World en Madrid el 17 de September de 2025.,Madrid,2025-09-17 00:00:00,Concierto,Movilidad reducida,4,5,Cubierto,Desde 30€,https://www.portaventuraworld.com/
64,Festival Tomavistas Madrid,,Disfruta de un parque temático familiar en Festival Tomavistas Madrid en Madrid el 25 de October de 2025.,Madrid,2025-10-25 00:00:00,Parque Temático,Auditiva,5,8,Al aire libre,Desde 10€,https://www.tomavistasfestival.com/
65,Zoo Aquarium de Madrid,,Disfruta de un festival familiar en Zoo Aquarium de Madrid en Madrid el 21 de August de 2025.,Madrid,2025-08-21 00:00:00,Festival,Cognitiva,3,8,Cubierto,Por confirmar,https://www.zoomadrid.com/
66,L'Aquàrium Barcelona,,Disfruta de un exposición familiar en L'Aquàrium Barcelona en Barcelona el 5 de August de 2025.,Barcelona,2025-08-05 00:00:00,Exposición,Cognitiva,2,8,Cubierto,Desde 5€,https://www.aquariumbcn.com/
67,Festival de los Sentidos Albacete,,Disfruta de un museo familiar en Festival de los Sentidos Albacete en Albacete el 13 de May de 2025.,Albacete,2025-05-13 00:00:00,Museo,Ninguna,2,2,Al aire libre,Desde 10€,https://festivaldelossentidos.com/
68,Oceanogràfic Valencia,,Disfruta de un parque temático familiar en Oceanogràfic Valencia en Valencia el 11 de August de 2025.,Valencia,2025-08-11 00:00:00,Parque Temático,Cognitiva,5,8,Cubierto,Desde 20€,https://www.oceanografic.org/
69,Museo del Mar de Galicia,,Disfruta de un literatura familiar en Museo del Mar de Galicia en A Coruña el 4 de December de 2025.,A Coruña,2025-12-04 00:00:00,Literatura,Ninguna,1,0,Cubierto,Gratis,https://museodomar.xunta.gal/
70,Museo Nacional de Ciencias Naturales,,Disfruta de un festival familiar en Museo Nacional de Ciencias Naturales en Madrid el 5 de November de 2025.,Madrid,2025-11-05 00:00:00,Festival,Movilidad reducida,5,5,Cubierto,Gratis,https://www.mncn.csic.es/
71,Parque Faunia Madrid,,Disfruta de un festival familiar en Parque Faunia Madrid en Madrid el 16 de November de 2025.,Madrid,2025-11-16 00:00:00,Festival,Ninguna,5,8,Cubierto,Gratis,https://www.faunia.es/
72,Museo del Ferrocarril de Madrid,,Disfruta de un literatura familiar en Museo del Ferrocarril de Madrid en Madrid el 2 de October de 2025.,Madrid,2025-10-02 00:00:00,Literatura,Ninguna,2,2,Al aire libre,Desde 5€,https://www.museodelferrocarril.org/
73,Museo del Ferrocarril de Madrid,,Disfruta de un exposición familiar en Museo del Ferrocarril de Madrid en Madrid el 29 de October de 2025.,Madrid,2025-10-29 00:00:00,Exposición,Movilidad reducida,2,5,Al aire libre,Desde 30€,https://www.museodelferrocarril.org/
74,Isla Mágica Sevilla,,Disfruta de un museo familiar en Isla Mágica Sevilla en Sevilla el 8 de January de 2025.,Sevilla,2025-01-08 00:00:00,Museo,Ninguna,1,0,Cubierto,Desde 10€,https://www.islamagica.es/
75,Bioparc Valencia,,Disfruta de un festival familiar en Bioparc Valencia en Valencia el 18 de February de 2025.,Valencia,2025-02-18 00:00:00,Festival,Auditiva,5,8,Cubierto,Por confirmar,https://www.bioparcvalencia.es/
76,Oceanogràfic Valencia,,Disfruta de un festival familiar en Oceanogràfic Valencia en Valencia el 26 de July de 2025.,Valencia,2025-07-26 00:00:00,Festival,Ninguna,5,8,Cubierto,Por confirmar,https://www.oceanografic.org/
77,Oceanogràfic Valencia,,Disfruta de un concierto familiar en Oceanogràfic Valencia en Valencia el 25 de October de 2025.,Valencia,2025-10-25 00:00:00,Concierto,Cognitiva,3,5,Cubierto,Gratis,https://www.oceanografic.org/
78,Festival de Magia - Parque de Atracciones,,Disfruta de un parque temático familiar en Festival de Magia - Parque de Atracciones en Madrid el 1 de January de 2025.,Madrid,2025-01-01 00:00:00,Parque Temático,Ninguna,5,8,Al aire libre,Desde 10€,https://parquedeatracciones.es/eventos/festival-magia
79,Festival Emérita Lúdica Mérida,,Disfruta de un parque temático familiar en Festival Emérita Lúdica Mérida en Badajoz el 30 de May de 2025.,Badajoz,2025-05-30 00:00:00,Parque Temático,Ninguna,5,0,Cubierto,Desde 30€,https://meridaludica.com/
80,Parque Gulliver Valencia,,Disfruta de un concierto familiar en Parque Gulliver Valencia en Valencia el 12 de November de 2025.,Valencia,2025-11-12 00:00:00,Concierto,Movilidad reducida,3,2,Cubierto,Gratis,https://www.visitvalencia.com/
81,Museo de la Felicidad Madrid,,Disfruta de un parque temático familiar en Museo de la Felicidad Madrid en Madrid el 10 de February de 2025.,Madrid,2025-02-10 00:00:00,Parque Temático,Ninguna,3,0,Al aire libre,Desde 20€,https://www.museodelafelicidad.es/
82,Museo del Ferrocarril de Madrid,,Disfruta de un parque temático familiar en Museo del Ferrocarril de Madrid en Madrid el 30 de March de 2025.,Madrid,2025-03-30 00:00:00,Parque Temático,Visual,3,0,Cubierto,Por confirmar,https://www.museodelferrocarril.org/
83,Parque Warner Madrid,,Disfruta de un espectáculo familiar en Parque Warner Madrid en Madrid el 31 de October de 2025.,Madrid,2025-10-31 00:00:00,Espectáculo,Cognitiva,5,8,Al aire libre,Gratis,https://www.parquewarner.com/
84,Parque de la Naturaleza de Cabárceno Cantabria,,Disfruta de un exposición familiar en Parque de la Naturaleza de Cabárceno Cantabria en Cantabria el 17 de February de 2025.,Cantabria,2025-02-17 00:00:00,Exposición,Movilidad reducida,1,2,Al aire libre,Desde 10€,https://parquedecabarceno.com/
85,Pinocho en el Circo - Teatro San Pol,,Disfruta de un parque temático familiar en Pinocho en el Circo - Teatro San Pol en Barcelona el 27 de April de 2025.,Barcelona,2025-04-27 00:00:00,Parque Temático,Auditiva,5,0,Al aire libre,Gratis,https://teatrosanpol.com/
86,Museo Naval de Madrid,,Disfruta de un concierto familiar en Museo Naval de Madrid en Madrid el 19 de December de 2025.,Madrid,2025-12-19 00:00:00,Concierto,Ninguna,5,5,Cubierto,Por confirmar,https://www.armada.mde.es/MuseoNaval/
87,Museo Interactivo de la Música Málaga,,Disfruta de un espectáculo familiar en Museo Interactivo de la Música Málaga en Málaga el 23 de March de 2025.,Málaga,2025-03-23 00:00:00,Espectáculo,Visual,4,2,Al aire libre,Desde 20€,https://www.musicaenaccion.com/
88,Parque de Aventuras Amazonia,,Disfruta de un parque temático familiar en Parque de Aventuras Amazonia en Madrid el 26 de October de 2025.,Madrid,2025-10-26 00:00:00,Parque Temático,Movilidad reducida,3,5,Al aire libre,Desde 20€,https://www.parqueaventuraamazonia.com/
89,Festival Tomavistas Madrid,,Disfruta de un espectáculo familiar en Festival Tomavistas Madrid en Madrid el 21 de March de 2025.,Madrid,2025-03-21 00:00:00,Espectáculo,Movilidad reducida,5,8,Cubierto,Desde 10€,https://www.tomavistasfestival.com/
90,Pinocho en el Circo - Teatro San Pol,,Disfruta de un literatura familiar en Pinocho en el Circo - Teatro San Pol en Barcelona el 4 de December de 2025.,Barcelona,2025-12-04 00:00:00,Literatura,Auditiva,2,8,Al aire libre,Por confirmar,https://teatrosanpol.com/
91,Dinópolis Teruel,,Disfruta de un parque temático familiar en Dinópolis Teruel en Teruel el 27 de October de 2025.,Teruel,2025-10-27 00:00:00,Parque Temático,Visual,3,5,Cubierto,Por confirmar,https://www.dinopolis.com/
92,Festival de los Sentidos Albacete,,Disfruta de un parque temático familiar en Festival de los Sentidos Albacete en Albacete el 26 de September de 2025.,Albacete,2025-09-26 00:00:00,Parque Temático,Ninguna,3,5,Cubierto,Desde 30€,https://festivaldelossentidos.com/
93,Museo Naval de Madrid,,Disfruta de un espectáculo familiar en Museo Naval de Madrid en Madrid el 23 de May de 2025.,Madrid,2025-05-23 00:00:00,Espectáculo,Auditiva,3,0,Cubierto,Desde 20€,https://www.armada.mde.es/MuseoNaval/
94,Parque Warner Madrid,,Disfruta de un espectáculo familiar en Parque Warner Madrid en Madrid el 13 de January de 2025.,Madrid,2025-01-13 00:00:00,Espectáculo,Auditiva,3,5,Al aire libre,Desde 10€,https://www.parquewarner.com/
95,Familyland Tres Cantos,,Disfruta de un parque temático familiar en Familyland Tres Cantos en Madrid el 1 de June de 2025.,Madrid,2025-06-01 00:00:00,Parque Temático,Auditiva,3,0,Al aire libre,Desde 20€,https://familyland.es/
96,Festival Pirineos Sur,,Disfruta de un literatura familiar en Festival Pirineos Sur en Madrid el 9 de February de 2025.,Madrid,2025-02-09 00:00:00,Literatura,Movilidad reducida,1,8,Cubierto,Desde 10€,https://pirineos-sur.es/
97,Isla Mágica Sevilla,,Disfruta de un exposición familiar en Isla Mágica Sevilla en Sevilla el 30 de January de 2025.,Sevilla,2025-01-30 00:00:00,Exposición,Ninguna,1,8,Al aire libre,Desde 20€,https://www.islamagica.es/
98,Museo Interactivo de la Música Málaga,,Disfruta de un literatura familiar en Museo Interactivo de la Música Málaga en Málaga el 12 de May de 2025.,Málaga,2025-05-12 00:00:00,Literatura,Auditiva,2,8,Al aire libre,Por confirmar,https://www.musicaenaccion.com/
99,Acuario de Gijón,,Disfruta de un concierto familiar en Acuario de Gijón en Asturias el 19 de October de 2025.,Asturias,2025-10-19 00:00:00,Concierto,Auditiva,5,2,Cubierto,Desde 20€,https://acuariodegijon.es/
100,L'Aquàrium Barcelona,,Disfruta de un festival familiar en L'Aquàrium Barcelona en Barcelona el 9 de May de 2025.,Barcelona,2025-05-09 00:00:00,Festival,Visual,5,2,Al aire libre,Desde 30€,https://www.aquariumbcn.com/
101,Festival Pirineos Sur,,Disfruta de un espectáculo familiar en Festival Pirineos Sur en Madrid el 21 de December de 2025.,Madrid,2025-12-21 00:00:00,Espectáculo,Auditiva,4,8,Cubierto,Desde 30€,https://pirineos-sur.es/
102,Museo de la Ciencia Valladolid,,Disfruta de un exposición familiar en Museo de la Ciencia Valladolid en Valladolid el 26 de May de 2025.,Valladolid,2025-05-26 00:00:00,Exposición,Movilidad reducida,2,5,Al aire libre,Desde 20€,https://museocienciavalladolid.es/
103,Festival Emérita Lúdica Mérida,,Disfruta de un festival familiar en Festival Emérita Lúdica Mérida en Badajoz el 8 de July de 2025.,Badajoz,2025-07-08 00:00:00,Festival,Cognitiva,5,8,Al aire libre,Desde 5€,https://meridaludica.com/
104,Museo del Ferrocarril de Madrid,,Disfruta de un parque temático familiar en Museo del Ferrocarril de Madrid en Madrid el 14 de August de 2025.,Madrid,2025-08-14 00:00:00,Parque Temático,Cognitiva,4,2,Cubierto,Desde 20€,https://www.museodelferrocarril.org/
105,Museo de las Ilusiones Madrid,,Disfruta de un literatura familiar en Museo de las Ilusiones Madrid en Madrid el 11 de November de 2025.,Madrid,2025-11-11 00:00:00,Literatura,Visual,1,8,Al aire libre,Por confirmar,https://museumofillusions.es/madrid/
106,Museo Nacional de Ciencias Naturales,,Disfruta de un concierto familiar en Museo Nacional de Ciencias Naturales en Madrid el 22 de June de 2025.,Madrid,2025-06-22 00:00:00,Concierto,Cognitiva,4,2,Cubierto,Desde 10€,https://www.mncn.csic.es/
107,Jurassic World Experience Madrid,,Disfruta de un parque temático familiar en Jurassic World Experience Madrid en Madrid el 10 de August de 2025.,Madrid,2025-08-10 00:00:00,Parque Temático,Auditiva,3,2,Al aire libre,Desde 20€,https://jurassicworldexperience.es/
108,Parque de la Naturaleza de Cabárceno Cantabria,,Disfruta de un espectáculo familiar en Parque de la Naturaleza de Cabárceno Cantabria en Cantabria el 10 de June de 2025.,Cantabria,2025-06-10 00:00:00,Espectáculo,Visual,3,0,Cubierto,Desde 5€,https://parquedecabarceno.com/
109,Museo Naval de Madrid,,Disfruta de un concierto familiar en Museo Naval de Madrid en Madrid el 11 de January de 2025.,Madrid,2025-01-11 00:00:00,Concierto,Ninguna,3,2,Al aire libre,Gratis,https://www.armada.mde.es/MuseoNaval/
110,Festival de Magia - Parque de Atracciones,,Disfruta de un parque temático familiar en Festival de Magia - Parque de Atracciones en Madrid el 12 de March de 2025.,Madrid,2025-03-12 00:00:00,Parque Temático,Visual,5,2,Cubierto,Por confirmar,https://parquedeatracciones.es/eventos/festival-magia
111,Parque Gulliver Valencia,,Disfruta de un festival familiar en Parque Gulliver Valencia en Valencia el 6 de June de 2025.,Valencia,2025-06-06 00:00:00,Festival,Cognitiva,4,8,Al aire libre,Por confirmar,https://www.visitvalencia.com/
112,Festival de Magia - Parque de Atracciones,,Disfruta de un parque temático familiar en Festival de Magia - Parque de Atracciones en Madrid el 21 de February de 2025.,Madrid,2025-02-21 00:00:00,Parque Temático,Visual,5,2,Al aire libre,Por confirmar,https://parquedeatracciones.es/eventos/festival-magia
113,Harpia Balaguer Medieval Lleida,,Disfruta de un parque temático familiar en Harpia Balaguer Medieval Lleida en Lleida el 6 de August de 2025.,Lleida,2025-08-06 00:00:00,Parque Temático,Auditiva,3,8,Cubierto,Desde 30€,https://balaguer.cat/portal/
114,Concierto Aitana Estadio Metropolitano,,Disfruta de un parque temático familiar en Concierto Aitana Estadio Metropolitano en Madrid el 5 de February de 2025.,Madrid,2025-02-05 00:00:00,Parque Temático,Cognitiva,5,0,Al aire libre,Por confirmar,https://aitanamusic.es/
