Company;TypeName;Inches;Ram;Memory;Weight;Price_euros;ScreenType;Resolution;IsTouchscreen;Cpu_Type;Memory_Cpu;OpsysType;Version;Manufacturer;MemoryGraphic;Model Base;Specifications;width;height
Lenovo;2 in 1 Convertible;14.0;4.0;128.0;1.8;638.0;Touchscreen / IPS Panel / Full HD;1920x1080;True;Intel Core i7 6500U;2.5;Windows;10;Intel;HD Graphics 520;Yoga 500-14ISK;;1920;1080
Dell;2 in 1 Convertible;15.6;8.0;256.0;2.67;799.0;Touchscreen / Full HD;1920x1080;True;Intel Core i5 8250U;1.6;Windows;10;Intel;UHD Graphics 620;Inspiron 5579;;1920;1080
Dell;Notebook;15.6;4.0;500.0;2.24;769.15;;1366x768;False;Intel Core i5 6200U;2.3;Windows;7;AMD;Radeon R5 M315;Vostro 3559;;1366;768
LG;Ultrabook;15.6;16.0;512.0;1.08;2099.0;Touchscreen / IPS Panel / Full HD;1920x1080;True;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;Gram 15Z970;;1920;1080
Lenovo;Netbook;11.6;4.0;128.0;1.59;553.0;IPS Panel;1366x768;False;Intel Celeron Quad Core N3450;1.1;Windows;10;Intel;HD Graphics 500;Yoga 11e;;1366;768
Dell;Ultrabook;13.3;8.0;256.0;1.21;1649.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 8550U;1.8;Windows;10;Intel;UHD Graphics 620;XPS 13;;1920;1080
Dell;Notebook;14.0;8.0;256.0;1.64;1279.73;Full HD;1920x1080;False;Intel Core i5 7300U;2.6;Windows;10;Intel;HD Graphics 620;Latitude 5480;;1920;1080
Dell;Notebook;15.6;4.0;500.0;2.09;523.63;;1366x768;False;Intel Core i5 6200U;2.3;Linux;;Intel;HD Graphics 520;Latitude E5570;;1366;768
HP;Notebook;15.6;8.0;1024.0;2.1;794.0;Full HD;1920x1080;False;Intel Core i5 8250U;1.6;Windows;10;Intel;UHD Graphics 620;ProBook 450;;1920;1080
MSI;Gaming;15.6;8.0;128.0;2.2;1199.0;Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GTX 1050;GP62M Leopard;;1920;1080
Dell;Notebook;15.6;4.0;1024.0;2.25;465.62;;1366x768;False;Intel Core i3 6006U;2.0;Linux;;AMD;Radeon R5 M430;Inspiron 3567;;1366;768
Dell;Notebook;17.3;8.0;128.0;2.8;1085.0;Full HD;1920x1080;False;Intel Core i5 8250U;1.6;Windows;10;AMD;Radeon 530;Inspiron 5770;;1920;1080
Lenovo;2 in 1 Convertible;13.3;8.0;512.0;1.37;2025.0;Touchscreen / IPS Panel / Full HD;1920x1080;True;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;ThinkPad Yoga;;1920;1080
Lenovo;Notebook;15.6;16.0;512.0;2.5;2449.0;Full HD;1920x1080;False;Intel Core i7 7820HQ;2.9;Windows;10;Nvidia;Quadro M2200M;Thinkpad P51;;1920;1080
Dell;Ultrabook;12.5;8.0;256.0;1.36;1472.2;Touchscreen / Full HD;1920x1080;True;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics;Latitude 7280;;1920;1080
Lenovo;Gaming;15.6;8.0;256.0;3.2;1399.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GTX 1060;Legion Y720-15IKB;;1920;1080
Dell;Workstation;15.6;8.0;256.0;1.78;2712.0;Touchscreen / 4K Ultra HD;3840x2160;True;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;Quadro M1200;Precision M5520;;3840;2160
Acer;Notebook;15.6;4.0;500.0;2.1;400.0;;1366x768;False;AMD A9-Series 9420;3.0;Windows;10;AMD;Radeon R5;Aspire 3;;1366;768
HP;Gaming;17.3;12.0;1024.0;3.74;1749.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;AMD;Radeon RX 580;Omen 17-an012dx;;1920;1080
Asus;Notebook;15.6;4.0;256.0;2.0;586.19;;1366x768;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;VivoBook Max;;1366;768
Acer;Notebook;17.3;4.0;1024.0;3.3;598.0;;1600x900;False;Intel Core i3 6006U;2.0;Windows;10;Nvidia;GeForce 940MX;E5 774G;;1600;900
HP;Workstation;15.6;8.0;256.0;2.6;1738.27;Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;Quadro M1200;Zbook 15;;1920;1080
Dell;Notebook;15.6;4.0;500.0;2.2;443.99;;1366x768;False;Intel Pentium Quad Core N3700;1.6;Windows;10;Intel;HD Graphics;Inspiron 3552;;1366;768
Lenovo;Notebook;15.6;8.0;1024.0;2.32;599.0;Full HD;1920x1080;False;Intel Core i5 6200U;2.3;No OS;;AMD;Radeon R5 M330;B51-80 ;8GB/1TB/Radeon;1920;1080
Mediacom;Notebook;14.0;4.0;32.0;1.45;389.0;IPS Panel / Full HD;1920x1080;False;Intel Celeron Quad Core N3450;1.1;Windows;10;Intel;HD Graphics 500;SmartBook Edge;;1920;1080
Lenovo;Notebook;17.3;4.0;1024.0;2.8;489.0;;1600x900;False;Intel Core i3 6006U;2.0;Windows;10;Intel;HD Graphics 520;IdeaPad 320-17ISK;;1600;900
Dell;Ultrabook;13.3;4.0;256.0;1.4;818.35;IPS Panel / Full HD;1920x1080;False;Intel Core i5 8250U;1.6;Windows;10;AMD;Radeon 530;Inspiron 5370;;1920;1080
LG;Ultrabook;15.6;8.0;512.0;1.09;2299.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 8550U;1.8;Windows;10;Intel;HD Graphics 620;Gram 15Z975;;1920;1080
LG;Ultrabook;14.0;8.0;512.0;0.98;1899.0;Touchscreen / IPS Panel / Full HD;1920x1080;True;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;Gram 14Z970;;1920;1080
HP;Ultrabook;14.0;4.0;256.0;1.48;1082.0;Full HD;1920x1080;False;Intel Core i5 7500U;2.7;Windows;10;Intel;HD Graphics 620;EliteBook 840;;1920;1080
Lenovo;Notebook;15.6;4.0;1024.0;2.32;825.0;Full HD;1920x1080;False;Intel Core i7 6500U;2.5;Windows;7;Intel;HD Graphics 520;B51-80 ;i7-6500U/4GB/1008GB/FHD/W7;1920;1080
Asus;Gaming;15.6;8.0;1024.0;2.2;949.0;Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GTX 1050;FX503VD-E4022T ;8GB/1TB/GeForce;1920;1080
HP;Notebook;14.0;4.0;128.0;1.95;1265.0;Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;Probook 640;;1920;1080
Dell;Notebook;15.6;8.0;1024.0;2.5;784.0;;1366x768;False;Intel Core i5 7200U;2.5;Windows;10;AMD;Radeon R7 M445;Inspiron 5567;;1366;768
Lenovo;Notebook;15.6;4.0;128.0;2.2;468.0;Full HD;1920x1080;False;Intel Core i5 7200U;2.5;No OS;;Intel;HD Graphics 620;IdeaPad 320-15IKBN;;1920;1080
HP;Notebook;15.6;4.0;256.0;1.86;369.0;;1366x768;False;AMD A6-Series 9220;2.5;Windows;10;AMD;Radeon R4 Graphics;255 G6;;1366;768
Lenovo;2 in 1 Convertible;13.9;8.0;512.0;1.37;1849.0;Touchscreen / IPS Panel / Full HD;1920x1080;True;Intel Core i7 8550U;1.8;Windows;10;Intel;UHD Graphics 620;Yoga 920-13IKB;;1920;1080
Lenovo;Notebook;15.6;4.0;256.0;1.8;829.0;Full HD;1920x1080;False;Intel Core i5 8250U;1.6;Windows;10;Intel;UHD Graphics 620;V330-15IKB ;i5-8250U/4GB/256GB/FHD/W10;1920;1080
HP;Notebook;15.6;8.0;1024.0;2.1;745.0;Full HD;1920x1080;False;Intel Core i7 7500U;2.7;Windows;10;AMD;Radeon 530;15-bs012nv ;8GB/1TB/Radeon;1920;1080
Acer;Notebook;15.6;4.0;500.0;2.23;619.0;;1366x768;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;TravelMate P259-G2;;1366;768
Acer;Notebook;15.6;4.0;500.0;2.4;289.0;;1366x768;False;Intel Celeron Dual Core N3060;1.6;Linux;;Intel;HD Graphics 400;Aspire ES1-531;;1366;768
Lenovo;Notebook;14.0;8.0;256.0;1.87;857.07;IPS Panel / Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Nvidia;GeForce 920MX;Thinkpad E470;;1920;1080
Lenovo;Notebook;15.6;4.0;500.0;2.1;540.0;;1366x768;False;Intel Core i5 6200U;2.3;Windows;10;Intel;HD Graphics 520;V110-15ISK ;i5-6200U/4GB/500GB/W10;1366;768
Lenovo;2 in 1 Convertible;13.3;16.0;512.0;1.3;1499.0;Touchscreen / IPS Panel / Quad HD+;3200x1800;True;Intel Core i7 6500U;2.5;Windows;10;Intel;HD Graphics 520;Yoga 900-13ISK;;3200;1800
Dell;Ultrabook;13.3;8.0;256.0;1.23;1379.0;Full HD;1920x1080;False;Intel Core i7 7560U;2.4;Windows;10;Intel;Iris Plus Graphics 640;XPS 13;;1920;1080
Lenovo;Ultrabook;14.0;8.0;256.0;1.96;1903.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GT 940MX;ThinkPad T470p;;1920;1080
Lenovo;Notebook;14.0;8.0;256.0;1.7;1186.0;Full HD;1920x1080;False;Intel Core i5 6200U;2.3;Windows;10;Intel;HD Graphics 520;Thinkpad T460;;1920;1080
Lenovo;Notebook;15.6;8.0;1024.0;2.2;659.01;Full HD;1920x1080;False;Intel Core i7 7500U;2.7;No OS;;Nvidia;GeForce 940MX;IdeaPad 320-15IKB;;1920;1080
Lenovo;Notebook;13.3;8.0;256.0;1.1;999.0;IPS Panel / Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;IdeaPad 720S-13IKB;;1920;1080
HP;Notebook;15.6;8.0;256.0;1.96;598.99;Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;250 G6;;1920;1080
Apple;Ultrabook;15.4;16.0;256.0;2.04;2139.97;IPS Panel / Retina Display;2880x1800;False;Intel Core i7;2.2;Mac OS X;;Intel;Iris Pro Graphics;MacBook Pro;;2880;1800
Dell;Notebook;15.6;8.0;256.0;2.0;1820.0;Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GTX 1050;XPS 15;;1920;1080
HP;Notebook;15.6;8.0;256.0;1.84;1349.0;Full HD;1920x1080;False;Intel Core i5 7300U;2.6;Windows;10;AMD;Radeon R7 M465;EliteBook 850;;1920;1080
Mediacom;Notebook;14.0;2.0;32.0;1.4;239.0;Full HD;1920x1080;False;Intel Atom x5-Z8350;1.44;Windows;10;Intel;HD Graphics;SmartBook 140;;1920;1080
Lenovo;Notebook;15.6;4.0;1024.0;2.2;469.0;Full HD;1920x1080;False;Intel Core i3 6006U;2.0;No OS;;Intel;HD Graphics 520;IdeaPad 110-15ISK;;1920;1080
Asus;Notebook;13.3;8.0;256.0;1.4;1150.0;Quad HD+;3200x1800;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;ZenBook UX310UA-FB485T;;3200;1800
Lenovo;Notebook;15.6;8.0;256.0;2.3;830.0;Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;Thinkpad E570;;1920;1080
Dell;2 in 1 Convertible;15.6;4.0;1024.0;2.08;795.99;Touchscreen / IPS Panel / Full HD;1920x1080;True;Intel Core i3 6100U;2.3;Windows;10;Intel;HD Graphics 520;Inspiron 5568;;1920;1080
MSI;Gaming;17.3;16.0;512.0;4.14;2729.0;Full HD;1920x1080;False;Intel Core i7 7820HK;2.9;Windows;10;Nvidia;GeForce GTX 1070;GT73VR Titan;;1920;1080
HP;Notebook;15.6;8.0;256.0;2.31;1427.0;Full HD;1920x1080;False;Intel Core i7 7820HQ;2.9;Windows;10;Intel;HD Graphics 630;ProBook 650;;1920;1080
HP;Notebook;14.0;8.0;256.0;1.48;1292.0;Full HD;1920x1080;False;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;Elitebook 840;;1920;1080
HP;Notebook;15.6;4.0;500.0;2.1;668.48;;1366x768;False;Intel Core i3 7100U;2.4;Windows;10;Intel;HD Graphics 620;ProBook 450;;1366;768
Asus;Gaming;15.6;16.0;128.0;2.1;1899.0;Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GTX 1060;Rog GL502VM-DS74;;1920;1080
HP;Notebook;15.6;8.0;128.0;1.91;589.0;;1366x768;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;15-bs024nv ;i5-7200U/8GB/128GB/W10;1366;768
HP;Notebook;15.6;8.0;128.0;2.04;979.0;IPS Panel / Full HD;1920x1080;False;Intel Core i5 7200U;2.7;Windows;10;Nvidia;GeForce 930MX;Probook 450;;1920;1080
Dell;Ultrabook;13.3;16.0;512.0;1.2;1869.0;Touchscreen / Quad HD+;3200x1800;True;Intel Core i7 8550U;1.8;Windows;10;Intel;UHD Graphics 620;XPS 13;;3200;1800
Lenovo;2 in 1 Convertible;14.0;16.0;1024.0;1.42;2824.0;Touchscreen;2560x1440;True;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;Thinkpad Yoga;;2560;1440
HP;Netbook;12.5;8.0;256.0;1.26;1669.0;Full HD;1920x1080;False;Intel Core i5 6200U;2.3;Windows;10;Intel;HD Graphics 520;EliteBook 820;;1920;1080
HP;Notebook;15.6;8.0;256.0;1.84;2103.34;Full HD;1920x1080;False;Intel Core i5 6300U;2.4;Windows;10;Intel;HD Graphics 520;EliteBook 850;;1920;1080
Lenovo;Notebook;15.6;8.0;1024.0;2.32;895.0;Full HD;1920x1080;False;Intel Core i7 6500U;2.5;Windows;7;AMD;Radeon R5 M330;B51-80 ;8GB/1008GB/Radeon;1920;1080
Lenovo;Notebook;14.0;8.0;256.0;1.65;1465.0;Full HD;1920x1080;False;Intel Core i5 6200U;2.3;Windows;7;Intel;HD Graphics 520;ThinkPad T470;;1920;1080
HP;Ultrabook;15.6;8.0;256.0;1.88;2171.72;Full HD;1920x1080;False;Intel Core i7 6500U;2.5;Windows;7;Intel;HD Graphics 520;EliteBook 850;;1920;1080
HP;Notebook;15.6;8.0;2048.0;2.04;389.0;;1366x768;False;Intel Pentium Quad Core N3710;1.6;Windows;10;Intel;HD Graphics 405;15-AY023na ;N3710/8GB/2TB/W10;1366;768
Dell;Notebook;15.6;16.0;256.0;1.93;1537.39;Full HD;1920x1080;False;Intel Core i7 7600U;2.8;Windows;10;Nvidia;GeForce 930MX;Latitude 5580;;1920;1080
Toshiba;Ultrabook;13.3;8.0;256.0;1.2;1095.0;;1366x768;False;Intel Core i5 6200U;2.3;Windows;10;Intel;HD Graphics 520;Portg Z30-C-188;;1366;768
HP;Notebook;15.6;4.0;500.0;1.86;397.0;Full HD;1920x1080;False;Intel Core i3 6006U;2.0;Windows;10;Intel;HD Graphics 520;250 G6;;1920;1080
Toshiba;Notebook;15.6;8.0;256.0;2.0;943.0;IPS Panel / Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;Satellite Pro;;1920;1080
Lenovo;Ultrabook;12.5;16.0;512.0;1.36;1798.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;Thinkpad X270;;1920;1080
Lenovo;Notebook;15.6;4.0;128.0;2.2;499.0;Full HD;1920x1080;False;Intel Core i3 6006U;2.0;Windows;10;Intel;HD Graphics 520;IdeaPad 320-15ISK;;1920;1080
MSI;Gaming;15.6;16.0;256.0;2.4;1799.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GTX 1060;GE63VR 7RE;;1920;1080
Dell;Gaming;15.6;8.0;256.0;2.65;1195.0;Full HD;1920x1080;False;Intel Core i5 7300HQ;2.5;Windows;10;Nvidia;GeForce GTX 1060;Inspiron 7577;;1920;1080
Acer;Notebook;15.6;4.0;500.0;2.4;559.0;;1366x768;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;Extensa EX2540-58KR;;1366;768
HP;2 in 1 Convertible;15.6;4.0;500.0;2.3;684.8;Touchscreen;1366x768;True;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;Pavilion x360;;1366;768
Lenovo;Notebook;15.6;8.0;256.0;2.1;1144.5;IPS Panel / Full HD;1920x1080;False;Intel Core i5 8250U;1.6;Windows;10;AMD;Radeon RX 550;ThinkPad E580;;1920;1080
Toshiba;Notebook;14.0;4.0;128.0;1.47;1105.0;IPS Panel / Full HD;1920x1080;False;Intel Core i5 6200U;2.3;Windows;10;Intel;HD Graphics 520;Tecra Z40-C-12X;;1920;1080
HP;2 in 1 Convertible;13.3;16.0;1024.0;1.29;2449.0;Touchscreen / IPS Panel / 4K Ultra HD;3840x2160;True;Intel Core i7 8550U;1.8;Windows;10;Intel;UHD Graphics 620;Spectre x360;;3840;2160
HP;Notebook;13.3;8.0;256.0;1.34;1189.0;IPS Panel / Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;ENVY -;;1920;1080
Lenovo;Notebook;15.6;8.0;256.0;2.2;597.0;;1366x768;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;IdeaPad 320-15IKBN;;1366;768
HP;Notebook;15.6;4.0;128.0;1.63;689.0;;1366x768;False;Intel Core i3 6006U;2.0;Windows;10;Intel;HD Graphics 520;ProBook 440;;1366;768
Lenovo;Netbook;11.6;4.0;16.0;1.25;265.0;;1366x768;False;Intel Celeron Dual Core N3060;1.6;Chrome OS;;Intel;HD Graphics 400;Chromebook N23;;1366;768
Dell;Ultrabook;13.3;8.0;256.0;1.29;1499.0;Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;XPS 13;;1920;1080
Dell;Ultrabook;13.3;16.0;512.0;1.29;2240.0;Touchscreen / Quad HD+;3200x1800;True;Intel Core i7 7660U;2.5;Windows;10;Intel;Iris Plus Graphics 640;XPS 13;;3200;1800
HP;Notebook;14.0;8.0;256.0;2.31;1124.0;;1366x768;False;Intel Core i5 7300U;2.6;Windows;10;Intel;HD Graphics 620;ProBook 650;;1366;768
MSI;Gaming;17.3;16.0;256.0;2.7;1492.8;Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GTX 1050 Ti;GP72M 7REX;;1920;1080
Lenovo;Notebook;14.0;8.0;256.0;1.65;1345.0;Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;ThinkPad T470;;1920;1080
HP;Notebook;15.6;8.0;1024.0;1.91;979.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 7500U;2.7;Windows;10;Nvidia;GeForce 940MX;Noteb Pav;;1920;1080
Acer;Notebook;15.6;4.0;500.0;2.4;450.0;;1366x768;False;Intel Core i3 6006U;2.0;Windows;10;Intel;HD Graphics 520;Extensa EX2540;;1366;768
Asus;Notebook;15.6;4.0;1024.0;2.03;403.0;;1366x768;False;AMD A9-Series 9420;3.0;Windows;10;AMD;Radeon R5 M420;X555BP-XX180T ;4GB/1TB/Radeon;1366;768
HP;Notebook;15.6;8.0;1024.0;2.1;716.0;IPS Panel / Full HD;1920x1080;False;Intel Core i3 7100U;2.4;Windows;10;Nvidia;GeForce 930MX ;ProBook 450;;1920;1080
Asus;Ultrabook;14.0;16.0;512.0;1.3;1495.0;Full HD;1920x1080;False;Intel Core i7 8550U;1.8;Windows;10;Nvidia;GeForce MX150;ZenBook UX430UN;;1920;1080
HP;2 in 1 Convertible;13.3;8.0;256.0;1.28;2559.0;Touchscreen / Full HD;1920x1080;True;Intel Core i7 7600U;2.8;Windows;10;Intel;HD Graphics 620;EliteBook x360;;1920;1080
HP;Gaming;17.3;8.0;128.0;3.35;1191.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GTX 1050;Omen 17-w212nv;;1920;1080
Dell;Notebook;15.6;4.0;1024.0;2.18;455.7;;1366x768;False;Intel Core i3 6006U;2.0;Linux;;AMD;Radeon R5 M420X;Vostro 3568;;1366;768
Apple;Ultrabook;13.3;8.0;128.0;1.37;1339.69;IPS Panel / Retina Display;2560x1600;False;Intel Core i5;2.3;macOS;;Intel;Iris Plus Graphics 640;MacBook Pro;;2560;1600
Microsoft;Ultrabook;13.5;4.0;128.0;1.252;1089.0;Touchscreen;2256x1504;True;Intel Core i5 7200U;2.5;Windows;10 S;Intel;HD Graphics 620;Surface Laptop;;2256;1504
Dell;Ultrabook;13.3;8.0;256.0;1.4;955.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 8550U;1.8;Windows;10;AMD;Radeon 530;Inspiron 5370;;1920;1080
Dell;Notebook;14.0;8.0;256.0;1.64;1179.0;Full HD;1920x1080;False;Intel Core i5 7440HQ;2.8;Windows;10;Nvidia;GeForce 930MX;Latitude 5480;;1920;1080
Dell;Notebook;15.6;8.0;500.0;1.9;1008.52;;1366x768;False;Intel Core i5 7300U;2.6;Windows;10;Intel;HD Graphics 620;Latitude 5580;;1366;768
Acer;2 in 1 Convertible;14.0;8.0;256.0;1.2;1149.0;Touchscreen / IPS Panel / Full HD;1920x1080;True;Intel Core i7 7Y75;1.3;Windows;10;Intel;HD Graphics 615;SP714-51 ;i7-7Y75/8GB/256GB/FHD/W10;1920;1080
MSI;Gaming;15.6;8.0;1024.0;2.2;839.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 7500U;2.7;Windows;10;Nvidia;GeForce GTX 1050;PL60 7RD;;1920;1080
Lenovo;Notebook;15.6;6.0;128.0;2.4;569.0;Full HD;1920x1080;False;Intel Core i3 6100U;2.3;Windows;10;Nvidia;GeForce 920MX;IdeaPad 310-15ISK;;1920;1080
HP;Notebook;13.3;8.0;512.0;1.49;1103.0;Full HD;1920x1080;False;Intel Core i7 8550U;1.8;Windows;10;Intel;UHD Graphics 620;ProBook 430;;1920;1080
Lenovo;2 in 1 Convertible;15.6;8.0;256.0;2.08;959.0;Touchscreen / Full HD;1920x1080;True;Intel Core i5 7200U;2.5;Windows;10;AMD;Radeon R7 M460;Yoga 510-15IKB;;1920;1080
Acer;Notebook;15.6;6.0;1024.0;2.1;409.0;;1366x768;False;AMD A9-Series 9420;3.0;Windows;10;AMD;Radeon R5;Aspire 3;;1366;768
Toshiba;Ultrabook;14.0;4.0;128.0;1.25;1090.0;;1366x768;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;Tecra X40-D-10Z;;1366;768
Toshiba;Ultrabook;13.3;32.0;512.0;1.05;2799.0;Touchscreen / Full HD;1920x1080;True;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;Portege X30-D-10L;;1920;1080
Dell;Gaming;15.6;8.0;1024.0;2.62;929.0;Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Linux;;Nvidia;GeForce GTX 1050Ti;Inspiron 7567;;1920;1080
Lenovo;Notebook;15.6;4.0;1024.0;1.85;449.0;Full HD;1920x1080;False;Intel Core i3 6006U;2.0;Windows;10;Intel;HD Graphics 520;V310-15ISK ;i3-6006U/4GB/1TB/FHD/W10;1920;1080
HP;Notebook;13.3;4.0;500.0;1.49;800.0;;1366x768;False;Intel Core i3 7100U;2.4;Windows;10;Intel;HD Graphics 620;Probook 430;;1366;768
Dell;Ultrabook;15.6;16.0;512.0;1.88;1607.96;Full HD;1920x1080;False;Intel Core i7 8650U;1.9;Windows;10;Intel;UHD Graphics 620;Latitude 5590;;1920;1080
Acer;Notebook;14.0;4.0;32.0;1.6;329.0;Full HD;1920x1080;False;Intel Celeron Quad Core N3450;1.1;Windows;10;Intel;HD Graphics 500;Aspire 1;;1920;1080
